Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
まだ,まだ,"1. still, as yet, only<br>2. (not) yet<br>3. more, (more) still<br>4. at least, comparatively, relatively<br>5. unfinished, incomplete, not yet done",N5,10,<b>まだ</b>卒業しませんから　どこでも,"I haven't graduated yet, so anywhere",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
こっち,こちら,"1. this way, this direction<br>2. here<br>3. this (one)<br>4. I, me, we, us<br>5. this person",N5,10,あずにゃんは<b>こっち</b>でしょ,"Azu-nyan is here, right?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
キミ,キミ,Kimi,Unlabeled,10,♬～<b>キミ</b>にときめき恋かもね,♬～I might fall in love with you,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いく,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N1,9,私は　この路線で<b>いき</b>たいんだよ,I want to go this route,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
日,ひ,"1. day, days<br>2. sun, sunshine, sunlight<br>3. (the) day, daytime, daylight<br>4. date, deadline<br>5. (past) days, time (e.g. of one's childhood)<br>6. case (esp. unfortunate), event",N4,9,卒業式の<b>日</b>にクラス全員で,The whole class on graduation day,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おはよう,おはよう,1. good morning,N2,9,♬～<b>おはよう</b>　ぴかぴか朝陽,"♬～Good morning, sparkling morning sun",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
早い,はやい,"1. fast, quick, hasty, brisk<br>2. early (in the day, etc.), premature<br>3. (too) soon, not yet, (too) early<br>4. easy, simple, quick",N5,9,とにかく<b>早く</b>しないとね,I have to hurry anyway,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
たり,たり,"1. -ing and -ing (e.g. ""coming and going"")<br>2. doing such things as...<br>3. expresses a command<br>4. to be<br>5. indicates completion or continuation of an action",Unlabeled,9,過去とか未来とか行っ<b>たり</b>して,Go to the past or the future,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
さわ,さわ,"1. mountain stream, valley, dale<br>2. wetlands, swamp, marsh",Unlabeled,9,<b>さわ</b>ちゃん！,Sawa-chan!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
もの,モノ,Thing (Tangible),Unlabeled,9,見ときたい<b>もの</b>があるんですが,There's something I'd like to see,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,9,<b>ああ</b>　もう部室に帰れない,"Ah, I can't go back to the clubroom anymore.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
気,き,"1. spirit, mind, heart<br>2. nature, disposition<br>3. motivation, intention<br>4. mood, feelings<br>5. ambience, atmosphere, mood",N4,9,とても危険な<b>気</b>がします,I feel like it's very dangerous,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
荷物,にもつ,"1. luggage, baggage, package<br>2. burden<br>3. payload (of a packet, cell, etc.)",N5,9,また<b>荷物</b>が増えた,My baggage has increased again.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
トン,トン,"1. ton (now usu. a metric ton, i.e. 1,000kg), tonne",Unlabeled,8,<b>トン</b>ちゃんの餌　やっといたよ,Ton-chan's food was finally here,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
とく,とく,"1. to untie, to unfasten, to unwrap, to undo, to unbind, to unpack<br>2. to unsew, to unstitch<br>3. to solve, to work out, to answer<br>4. to dispel (misunderstanding, etc.), to clear up, to remove (suspicion), to appease<br>5. to dissolve (a contract), to cancel, to remove (a prohibition), to lift (a ban), to raise (a siege)<br>6. to release (from duty), to relieve, to dismiss<br>7. to comb (out), to card, to untangle (hair)",Unlabeled,8,見<b>とき</b>たいものがあるんですが,There's something I'd like to see,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いや,ひ,"1. no, the noes",Unlabeled,8,<b>いや</b>～　私もホッとしたわ,"Well, I was relieved too.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
最後,さいご,"1. end, conclusion<br>2. last, final, latest, most recent<br>3. no sooner than, once, right after (often having negative consequences)<br>4. one's final moments",N4,8,それでは　<b>最後</b>の曲です,"Now, this is the last song.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
わけ,わけ,"1. conclusion from reasoning, judgement or calculation based on something read or heard, reason, cause, meaning, circumstances, situation",Unlabeled,8,という<b>わけ</b>で,That's why,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
カッコイイ,かっこいい,"1. attractive, good-looking, stylish, cool, smooth, neat, with-it, groovy",Unlabeled,8,<b>カッコイイ</b>です」とかみたいなさ,"It's like, ``That's cool.''",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
回る,めぐる,1. to go around<br>2. to return<br>3. to surround<br>4. to concern (usu. of disputes),N4,8,<b>回る</b>のは～！,It spins!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ため,ため,"1. good, advantage, benefit, welfare<br>2. sake, purpose, objective, aim<br>3. consequence, result, effect<br>4. affecting, regarding, concerning",Unlabeled,8,その<b>ため</b>に持ってきたんじゃ～ん,That's why I brought it,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
こんな,こんな,"1. this sort of, this kind of, like this, such",N5,7,解散？　何で<b>こんな</b>時期に,dissolution? Why at this time?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
違う,ちがう,"1. to differ (from), to vary<br>2. to not be in the usual condition<br>3. to not match the correct (answer, etc.)<br>4. to be different from promised<br>5. isn't it?, wasn't it?",N5,7,でも思ってたのと　ちょっと<b>違う</b>わ,But it's a little different than I thought.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
忘れる,わすれる,"1. to forget, to leave carelessly, to be forgetful of, to forget about, to forget (an article)",N5,7,３つ<b>忘れる</b>ような唯が音楽性？,Is it musicality that makes you forget three things?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
話,はなし,"1. talk, speech, chat, conversation<br>2. topic, subject<br>3. discussions, negotiation, argument<br>4. rumor, talk, hearsay<br>5. tale, story, fable<br>6. circumstances, particulars",N5,7,それは寝るときの靴下の<b>話</b>！,It's about socks when you sleep!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
待つ,まつ,"1. to wait<br>2. to await, to look forward to, to anticipate<br>3. to depend on, to need",N5,7,<b>待っ</b>てください！,Please wait!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
また,また,"1. again, once more, once again, another time, some other time<br>2. also, too, as well, likewise<br>3. on the other hand, while<br>4. and, in addition, besides, moreover, furthermore<br>5. or, otherwise<br>6. really, how, (what, why) on earth<br>7. indirect",N5,7,<b>また</b>ほっぺに弦のあとがつくよ,There are string marks on my cheeks again.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
留年,りゅうねん,"1. repeating a year (at school), staying in the same class for another year",Unlabeled,7,そう　<b>留年</b>！,"Yes, repeating a grade!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
そこ,ソコ,There,N5,7,<b>そこ</b>を何とか,Somehow about that,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
プレゼント,プレゼント,"1. present, gift<br>2. to give a present or gift",N4,7,「あずにゃんへの<b>プレゼント</b>」と,"""A present for Azunyan""",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ちゃ,て,"1. hand, arm<br>2. forepaw, foreleg<br>3. handle<br>4. hand, worker, help<br>5. trouble, care, effort<br>6. means, way, trick, move, technique, workmanship<br>7. hand, handwriting<br>8. kind, type, sort<br>9. one's hands, one's possession<br>10. ability to cope<br>11. hand (of cards)<br>12. direction<br>13. move (in go, shogi, etc.)",Unlabeled,7,内緒にしとかなく<b>ちゃ</b>ね,I have to keep it a secret.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ホント,ほんとう,"1. truth, reality, actuality, fact<br>2. proper, right, correct, official<br>3. genuine, authentic, real, natural, veritable",Unlabeled,7,<b>ホント</b>に　みんなで,"Really, everyone",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
もらう,もらう,"1. to receive, to take, to accept<br>2. to get somebody to do something<br>3. to have in one's pocket (a fight, match)<br>4. to contract (a disease), to catch, to be affected",N4,7,憂に<b>もらっ</b>た護身術の本が,A book on self-defense that I received out of regret.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
会える,あう,"1. to meet, to encounter, to see<br>2. to have an accident, to have a bad experience",Unlabeled,7,♬～でもね、<b>会え</b>たよ！,"♬～But, I met you!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ダメ,だめ,"1. no good, not serving its purpose, useless, broken<br>2. hopeless, wasted, in vain, purposeless<br>3. cannot, must not, not allowed<br>4. neutral point (in go), intersection owned by neither player at the end of a game",Unlabeled,7,そこは<b>ダメ</b>だな,That's no good,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ヨーロッパ,ヨーロッパ,Yoroppa,N3,7,何となく<b>ヨーロッパ</b>が,Somehow Europe,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
本当,ほんとう,"1. truth, reality, actuality, fact<br>2. proper, right, correct, official<br>3. genuine, authentic, real, natural, veritable",N3,7,<b>本当</b>に　お邪魔じゃないですかね,"It really doesn't bother you, does it?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
写真,しゃしん,"1. photograph, photo, picture, snapshot, snap<br>2. moving picture, movie",N5,7,一緒に記念<b>写真</b>　撮ろうと思って,I wanted to take a commemorative photo together.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
イエス,イエス,Iesu,N1,7,簡単に<b>イエス</b>って言うなよ,Don't just say yes,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
寿司,すし,"1. sushi, anything made with vinegared rice (may also contain vegetables, spices, fish, or other delicacies)",Unlabeled,7,お<b>寿司</b>　食べに来ただけだよって,He said he just came to eat sushi.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
やめる,やめる,"1. to stop (an activity), to cease, to discontinue, to end, to quit<br>2. to cancel, to abandon, to give up, to abolish, to abstain, to refrain",Unlabeled,6,<b>やめ</b>て　２人とも！,"Stop it, both of you!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
みる,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",Unlabeled,6,おうちに確認して<b>み</b>ないと,I have to check it at home,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
律,リツ,Ritsu,Unlabeled,6,では　部長の田井中<b>律</b>さん　どうぞ,"Now, Director Ritsu Tainaka, please.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
さっき,さっき,"1. a short while ago, a moment ago, just now, some time ago",N4,6,<b>さっき</b>の反省会でもするか,Shall we do it at the review meeting earlier?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
茶,ちゃ,"1. tea<br>2. tea plant (Camellia sinensis)<br>3. tea preparation, making tea<br>4. brown<br>5. mockery",N3,6,お<b>茶</b>のときに食べるお菓子も,Sweets to eat with tea,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
どんな,どんな,"1. what kind of, what sort of, what<br>2. no matter what (kind of), whatever, any, all",N3,6,なあ　唯　<b>どんな</b>曲にしよう,"Hey Yui, what kind of song should we choose?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
知る,しる,"1. to be aware of, to know, to be conscious of, to cognize, to cognise<br>2. to notice, to feel<br>3. to understand, to comprehend, to grasp<br>4. to remember, to be acquainted with (a procedure)<br>5. to experience, to go through, to learn<br>6. to be acquainted with (a person), to get to know<br>7. to concern",N5,6,<b>知ら</b>ずに入部したんですよね,I joined the club without knowing it.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
子,こ,"1. child<br>2. young (animal)<br>3. young woman, young geisha<br>4. offshoot<br>5. interest<br>6. new shares<br>7. player who is not a dealer (in cards, mahjong, etc.)<br>8. bird egg<br>9. -er (often of young women)",N4,6,ズルした<b>子</b>へのお仕置きです,This is a punishment for a child who cheats.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
くらい,くらい,"1. dark, gloomy, murky<br>2. depressed, dispirited, down in the dumps, dark (mood)<br>3. dark (in colour), dull<br>4. ill-boding, dark (e.g. past), suspicious<br>5. unlikely (to succeed), hopeless, unpromising<br>6. unfamiliar (with), ignorant (of)",Unlabeled,6,５時<b>くらい</b>に空港に着かないと,I have to get to the airport around 5 o'clock.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
色々,いろいろ,"1. various, all sorts of, variety of<br>2. various colors (colours)",N1,6,私達にも<b>色々</b>あるんだよね,There are many things for us too.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
聴く,きく,"1. to hear<br>2. to listen (e.g. to music)<br>3. to ask, to enquire, to query<br>4. to hear about, to hear of, to learn of<br>5. to follow (advice, order, etc.), to obey, to listen to, to comply with<br>6. to hear (e.g. a plea), to grant (a request), to accept (e.g. an argument), to give consideration to<br>7. to smell (esp. incense), to sample (a fragrance)<br>8. to taste (alcohol), to try",Unlabeled,6,もう一回<b>聴き</b>たいな　唯達の演奏,I want to listen to Yuitatsu's performance again.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ギー,ギー,Gi,Unlabeled,6,やっと<b>ギー</b>太に会えた　これで安心,"I finally met Gita, now I feel relieved.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
太,太,Futoshi,Unlabeled,6,やっとギー<b>太</b>に会えた　これで安心,"I finally met Gita, now I feel relieved.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
つける,つける,"1. to install (a king, emperor, etc.)<br>2. to appoint (to a post), to promote<br>3. to assign (to study under)",N5,6,ムギに曲<b>つけ</b>てもらおうよ,Let's have Mugi write a song.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
やっと,やっと,"1. at last, finally<br>2. barely, narrowly, just, by the skin of one's teeth",N4,6,<b>やっと</b>ギー太に会えた　これで安心,"I finally met Gita, now I feel relieved.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
まさか,まさか,"1. by no means, never!, well, I never!, you don't say!, certainly (not)<br>2. something unexpected, emergency<br>3. currently, for the time being, presently, for now<br>4. indeed, really, truly, unexpectedly",N3,6,唯　<b>まさか</b>とは思うけど,I don't think it's possible though,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
イギリス,イギリス,Igirisu,Unlabeled,6,そんなに<b>イギリス</b>に行きたかったとは,I wanted to go to England so much,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
乗る,のる,"1. to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark<br>2. to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount<br>3. to reach, to go over, to pass<br>4. to follow, to stay (on track), to go with (the times, etc.)<br>5. to take part, to participate, to join<br>6. to get into the swing (and sing, dance, etc.)<br>7. to be deceived, to be taken in<br>8. to be carried, to be spread, to be scattered<br>9. to stick, to attach, to take, to go on",N5,6,♬～風に<b>乗っ</b>て流れる　私達の今は,♬~ Our current moment flows on the wind,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
大きな,おおきな,"1. big, large, great",N5,6,《もっと<b>大きな</b>声で》,《Louder voice》,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
行ける,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",Unlabeled,6,ねえねえ　バスとかで<b>行け</b>ないかな,"Hey, I wonder if we can go by bus or something?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おッ,おっ,"1. oh, oops",Unlabeled,6,<b>おッ</b>　目的をね,"Oh, the purpose.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
タクシー,タクシー,1. taxi,N5,6,ロンドンでは自分で<b>タクシー</b>のドアを,"In London, you open your own taxi door",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ラブ,ラブ,1. love,Unlabeled,6,☎<b>ラブ</b>・クライシスとブラックフリルが,☎Love Crisis and Black Frill,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
日本,日本,Nippon,N3,6,<b>日本</b>では明日になってるんでしょ,"In Japan, it's tomorrow, right?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おかず,おかず,"1. small dish (usu. one of several accompanying rice), side dish<br>2. fill, fill-in (drumming)<br>3. jack-off material, something to masturbate to",N2,6,とりあえず　「ごはんは<b>おかず</b>」を,"For now, ``Rice is a side dish.''",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ふわふわ,ふわふわ,"1. lightly (floating, drifting, etc.), buoyantly<br>2. soft, fluffy, spongy<br>3. unsteadily, flightily, fickly, frivolously",N2,6,♬～<b>ふわふわ</b>時間,♬～Fluffy time,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
放課後,ほうかご,1. after school (at the end of the day),Unlabeled,5,どうも　<b>放課後</b>ティータイムです,"Hello, it's after school tea time.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ティータイム,ティータイム,"1. teatime, tea break, coffee break",Unlabeled,5,どうも　放課後<b>ティータイム</b>です,"Hello, it's after school tea time.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
よう,ヨウ,Seem / Like / Way,Unlabeled,5,回れる<b>よう</b>行程をまとめてきます,I'll put together an itinerary so you can go around.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,5,どの口が言う！　<b>お前</b>が入部して,Which mouth says! You joined the club,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
大事,だいじ,"1. important, serious, crucial<br>2. valuable, precious<br>3. serious matter, major incident, matter of grave concern, crisis<br>4. great undertaking, great enterprise, great thing<br>5. safe, OK",N4,5,そんな<b>大事</b>な会議が！,Such an important meeting!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ごめん,ごめん,"1. I'm sorry, my apologies, excuse me, pardon me<br>2. may I come in?<br>3. permission, leave, license<br>4. dismissal, discharge<br>5. not wanting, objecting to, being fed up with, wishing to avoid",Unlabeled,5,<b>ごめん</b>なさい　吹けません,"Sorry, I can't blow it.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
お菓子,おかし,"1. confections, sweets, candy, cake",N5,5,元はといえば　ムギちゃんが<b>お菓子</b>,"Originally, Mugi-chan was the candy.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いける,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",Unlabeled,5,考えないと<b>いけ</b>ないとか＞,I have to think about it>,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ござる,ござる,1. to be,Unlabeled,5,ありがとう<b>ござい</b>ます,thank you,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
練習,れんしゅう,"1. practice, training, drill, (an) exercise, workout",N5,5,いい加減　<b>練習</b>の合間に,In between practice sessions,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
バンド,バンド,1. band<br>2. belt,N2,5,体張って<b>バンド</b>名を表してますね,They stand out and represent the band name.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
大好き,だいすき,"1. loveable, very likeable, like very much",N5,5,♬～わかんない　でも“<b>大好き</b>”が,"♬~I don’t know, but “I love you”",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
一,いち,"1. one, 1<br>2. best<br>3. first, foremost",N5,5,♬～百個目の<b>一</b>番も　それは一番で,♬～The hundredth number is also the number one.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
番,ばん,"1. number (in a series)<br>2. (one's) turn<br>3. watch, guard, lookout<br>4. rank, standing, position<br>5. bout, match<br>6. pieces (in a collection)",N3,5,♬～百個目の一<b>番</b>も　それは一番で,♬～The hundredth number is also the number one.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
学校,がっこう,1. school,N5,5,私達がもう１年　<b>学校</b>にいて,We've been in school for another year,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
お茶,おちゃ,1. tea (usu. green)<br>2. tea break (at work)<br>3. tea ceremony,N5,5,ロンドンで　<b>お茶</b>できるの？,Can we have tea in London?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
せる,せる,1. to compete<br>2. to bid<br>3. to sell at auction,Unlabeled,5,ホームルームまでには終わら<b>せ</b>ますから,I'll finish it by homeroom.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
大学,だいがく,"1. university, college<br>2. former central university of Kyoto (established under the ritsuryo system for the training of government administrators)<br>3. the Great Learning (one of the Four Books)",N5,5,だって　もう<b>大学</b>受かったし,Because I already got accepted to university.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
さすが,さすが,"1. as one would expect, just as you'd expect (from), just like (someone)<br>2. still, all the same, after all<br>3. even ... (e.g. ""even a genius"")",Unlabeled,5,<b>さすが</b>にネス湖は遠いですね,Loch Ness is really far away.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
らしい,らしい,"1. seeming ..., appearing ...<br>2. -ish, like a ..., typical of ..., appropriate for ..., becoming of ..., worthy of the name ...",Unlabeled,5,旅行の目的を聞かれる<b>らしい</b>です,Apparently you will be asked about the purpose of your trip.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
道,みち,"1. road, path, street, lane, passage<br>2. route, way<br>3. distance, journey<br>4. road (e.g. to victory), course<br>5. way (of living, proper conduct, etc.), moral principles<br>6. teachings (esp. Confucian or Buddhist), dogma<br>7. field (e.g. of medicine), subject, speciality<br>8. means, way, method",N5,5,部室に帰る<b>道</b>が,The way back to the clubroom,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
よく,よく,"1. nicely, properly, well, skillfully, skilfully<br>2. frequently, often<br>3. I'm glad that you ..., thank you for ...<br>4. (you have) quite the nerve to, I don't know how you can ...",N5,5,<b>よく</b>考えたらさ　みんなで一緒に,"If you think about it, let's all do it together.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
つく,つく,"1. to be attached, to be connected with, to adhere, to stick, to cling<br>2. to remain imprinted, to scar, to stain, to dye<br>3. to bear (fruit, interest, etc.)<br>4. to be acquired (of a habit, ability, etc.), to increase (of strength, etc.)<br>5. to take root<br>6. to accompany, to attend, to follow, to study with<br>7. to side with, to belong to<br>8. to possess, to haunt<br>9. to be lit, to be lighted<br>10. to be settled, to be resolved, to be decided<br>11. to be given (of a name, price, etc.)<br>12. to be sensed, to be perceived<br>13. to be lucky<br>14. to become (a state, condition, etc.)",Unlabeled,5,またほっぺに弦のあとが<b>つく</b>よ,There are string marks on my cheeks again.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
先生,せんせい,"1. teacher, instructor, master<br>2. sensei, title or form of address for a teacher, master, doctor, lawyer, etc.<br>3. intimate or teasing form of address<br>4. one's elder",N5,5,これ　もちろん<b>先生</b>には内緒で,"This, of course, is a secret from the teacher.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
とこ,ところ,"1. place, spot, scene, site<br>2. address<br>3. district, area, locality<br>4. one's house<br>5. point, aspect, side, facet<br>6. passage (in text), part<br>7. space, room<br>8. thing, matter<br>9. whereupon, as a result<br>10. about to, on the verge of<br>11. was just doing, was in the process of doing, have just done, just finished doing",Unlabeled,5,もっかい　唯が飛ぶ<b>とこ</b>見れるの？,Can we see Yui Mokkai fly?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
決める,きめる,"1. to decide, to choose, to determine, to make up one's mind, to resolve, to set one's heart on, to settle, to arrange, to set, to appoint, to fix<br>2. to clinch (a victory), to decide (the outcome of a match)<br>3. to persist in doing, to go through with<br>4. to always do, to have made a habit of<br>5. to take for granted, to assume<br>6. to dress up, to dress to kill, to dress to the nines<br>7. to carry out successfully (a move in sports, a pose in dance, etc.), to succeed in doing<br>8. to immobilize with a double-arm lock (in sumo, judo, etc.)<br>9. to eat or drink something, to take illegal drugs",N4,5,あみだくじで行くとこ<b>決めよう</b>,Let's decide where to go using the Amidakuji lottery.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ちゃんと,ちゃんと,"1. diligently, seriously, earnestly, reliably, steadily, legitimately<br>2. perfectly, properly, exactly, orderly, punctually, regularly<br>3. sufficiently, satisfactorily<br>4. quickly",N3,5,<b>ちゃんと</b>予約が取れてるそうだ,Looks like you've got a reservation.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
今日,きょう,"1. today, this day<br>2. these days, recently, nowadays",N5,5,♬～甘口じゃなく<b>今日</b>は中辛なの,"♬～It's not sweet, but today it's medium spicy.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
すぎる,すぎる,"1. to pass through, to pass by, to go beyond<br>2. to pass (of time), to elapse<br>3. to have expired, to have ended, to be over<br>4. to exceed, to surpass, to be above<br>5. to be no more than ...<br>6. to be excessive, to be too much, to be too ...",Unlabeled,5,世界が狭<b>すぎる</b>にも程があるな,There is a limit to how small the world is,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
アフタヌーン,アフターヌーン,1. afternoon,Unlabeled,5,<b>アフタヌーン</b>ティーできるところが,A place where you can have afternoon tea,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ティー,ティー,1. tea<br>2. tee,Unlabeled,5,アフタヌーン<b>ティー</b>できるところが,A place where you can have afternoon tea,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
