Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
すごい,すごい,Amazing,N3,23,でも　<b>すごい</b>スケーターだ,But he's a great skater,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
まだ,まだ,"1. still, as yet, only<br>2. (not) yet<br>3. more, (more) still<br>4. at least, comparatively, relatively<br>5. unfinished, incomplete, not yet done",N5,22,俺は<b>まだ</b>24だ！,I'm only 24!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
知る,しる,"1. to be aware of, to know, to be conscious of, to cognize, to cognise<br>2. to notice, to feel<br>3. to understand, to comprehend, to grasp<br>4. to remember, to be acquainted with (a procedure)<br>5. to experience, to go through, to learn<br>6. to be acquainted with (a person), to get to know<br>7. to concern",N5,22,でも　俺はもう<b>知っ</b>てる,But I already know,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
ダメ,だめ,"1. no good, not serving its purpose, useless, broken<br>2. hopeless, wasted, in vain, purposeless<br>3. cannot, must not, not allowed<br>4. neutral point (in go), intersection owned by neither player at the end of a game",Unlabeled,22,雪が積もってないと<b>ダメ</b>だし,It's no good unless there's snow on the ground,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
すぎる,すぎる,"1. to pass through, to pass by, to go beyond<br>2. to pass (of time), to elapse<br>3. to have expired, to have ended, to be over<br>4. to exceed, to surpass, to be above<br>5. to be no more than ...<br>6. to be excessive, to be too much, to be too ...",Unlabeled,22,いくら何でも遅<b>すぎる</b>だろ,It's too late no matter what,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #12 PART 俺たちの無限大!.ja"
どこ,どこ,"1. where, what place<br>2. how much (long, far), what extent",N5,22,いつでも　<b>どこ</b>でも,"anytime, anywhere","#02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
いや,ほんけ,"1. head house (family), birthplace, originator",Unlabeled,21,<b>いや</b>だね　それに時間がない,"No, I don't have time for that.","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
みる,みる,To try doing,Unlabeled,21,では　さっそく行って<b>みよ</b>う,Let's go right away,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
出る,でる,"1. to leave, to exit, to go out, to come out, to get out<br>2. to leave (on a journey), to depart, to start out, to set out<br>3. to move forward<br>4. to come to, to get to, to lead to, to reach<br>5. to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display<br>6. to appear (in print), to be published, to be announced, to be issued, to be listed, to come out<br>7. to attend, to participate, to take part, to enter (an event), to play in, to perform<br>8. to be stated, to be expressed, to come up, to be brought up, to be raised<br>9. to sell<br>10. to exceed, to go over<br>11. to stick out, to protrude<br>12. to break out, to occur, to start, to originate<br>13. to be produced<br>14. to come from, to be derived from<br>15. to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid<br>16. to answer (phone, door, etc.), to get<br>17. to assume (an attitude), to act, to behave<br>18. to pick up (speed, etc.), to gain<br>19. to flow (e.g. tears), to run, to bleed<br>20. to graduate<br>21. to ejaculate, to cum",N5,21,また愛抱夢が前に<b>出</b>たぞ！,The love dream came to the fore again!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
教える,おしえる,"1. to teach, to instruct<br>2. to tell, to inform<br>3. to preach",N5,21,あなたにスケートを<b>教え</b>たのは私です,I'm the one who taught you to skate,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
滑り,すべり,"1. sliding, slipping",Unlabeled,20,今日は愛抱夢の<b>滑り</b>が見れるぜ！,Today you can see Aiyumu skating!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
みたい,みたい,"1. -like, sort of, similar to, resembling",Unlabeled,20,愛抱夢<b>みたい</b>なことを！,Something like a love dream!,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
だから,だから,"1. so, therefore, accordingly, consequently, on those grounds, that is why, for that reason<br>2. like I said, I told you already",N4,20,ああ　<b>だから</b>曲がるときに,"Ah, that's why when I turn","#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
カーラ,カーラ,*,Unlabeled,19,ありがとう　<b>カーラ</b>,Thank you Carla,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
マジ,まじ,"1. serious, not joking, straight<br>2. cannot, should not, will not, must not",Unlabeled,19,<b>マジ</b>かよ！,Seriously!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
怖い,こわい,"1. scary, frightening, eerie, dreadful",N4,18,《ランガ：俺には最初　何が<b>怖い</b>のか,Ranga: What is scary for me at first?,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #12 PART 俺たちの無限大!.ja"
もらう,もらう,To receive,N4,18,取り消して<b>もらう</b>さ　こいつで！,I'll have it canceled with this guy!,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
また,また,"1. crotch, crutch, groin, thigh<br>2. fork (in a tree, road, river, etc.), tines (of a fork)",N5,18,<b>また</b>愛抱夢が前に出たぞ！,The love dream came to the fore again!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
悪い,わるい,"1. bad, poor, undesirable<br>2. poor (quality), inferior, insufficient<br>3. evil, sinful<br>4. ugly, not beautiful<br>5. at fault, to blame, in the wrong<br>6. bad (at doing something)<br>7. unprofitable, unbeneficial<br>8. sorry, (my) bad, unforgivable",N5,18,自分を大事にするのは<b>悪い</b>ことじゃない,It's not bad to take care of yourself,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
乗る,のる,"1. to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark<br>2. to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount<br>3. to reach, to go over, to pass<br>4. to follow, to stay (on track), to go with (the times, etc.)<br>5. to take part, to participate, to join<br>6. to get into the swing (and sing, dance, etc.)<br>7. to be deceived, to be taken in<br>8. to be carried, to be spread, to be scattered<br>9. to stick, to attach, to take, to go on",N5,18,スピンくらいで調子に<b>乗ん</b>な！,Don't get carried away just by spinning!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #10 PART 言葉のいらないDAP.ja"
違う,ちがう,"1. to differ (from), to vary<br>2. to not be in the usual condition<br>3. to not match the correct (answer, etc.)<br>4. to be different from promised<br>5. isn't it?, wasn't it?",N5,18,お前も愛抱夢も　俺とは<b>違う</b>んだ,You and my love dream are different from me.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
より,より,"1. than<br>2. from, out of, since, at, on<br>3. except, but, other than<br>4. more",N5,18,ド素人のお前<b>より</b>はマシだ！,"It's better than you, an amateur!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
くん,くん,"1. Mr (junior), master, boy",Unlabeled,18,≪おはよう　ランガ<b>くん</b>！,≪Good morning Ranga-kun!,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
つもり,つもり,"1. intention, plan<br>2. conviction, belief",N4,18,人生を棒に振る<b>つもり</b>か,Are you planning on ruining your life?,"#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
こっち,こちら,"1. this way, this direction<br>2. here<br>3. this (one)<br>4. I, me, we, us<br>5. this person",N5,17,でも　<b>こっち</b>に来て—,But come here—,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
がる,がる,"1. to show signs of being, to feel, to think<br>2. to behave as if one were, to pretend, to act as if",N1,17,ものを信じた<b>がる</b>のは—,People who want to believe in things are—,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
ケガ,けが,"1. injury (to animate object), hurt",Unlabeled,17,これで<b>ケガ</b>も　ちっとはマシになる,This will make your injuries a little better.,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
スケーター,スケーター,Suketa,Unlabeled,17,危険な<b>スケーター</b>ってことは確かだ,I'm sure he's a dangerous skater.,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
次,つぎ,"1. next, following, subsequent<br>2. stage, station",N5,17,でも<b>次</b>のビーフには,But for the next beef,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
一緒,いっしょ,"1. together<br>2. at the same time<br>3. same, identical",N5,17,てか　いつもスノーと<b>一緒</b>にいる,"I mean, I'm always with Snow.","#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
なに,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",Unlabeled,17,<b>なに</b>勝手に返事してんだ！,Why did you just reply!,"#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
私,わたし,"1. I, me",N5,17,あなたにスケートを教えたのは<b>私</b>です,I'm the one who taught you to skate,"#07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
終わる,おわる,"1. to end, to come to an end, to close, to finish",N1,16,けど　これでラブハッグも<b>終わり</b>だな,But this is the end of the love hug.,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
じゃん,じゃーん,"1. ta-dah!, ta-da!, voilà!<br>2. clash, crash, bang",Unlabeled,16,すっげ～<b>じゃん</b>！,That's amazing!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
もん,もの,1. person,Unlabeled,16,欲しい<b>もん</b>でもあんの？,Is it even what you want?,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
先,さっき,"1. a short while ago, a moment ago, just now, some time ago",N5,16,とにかく<b>先</b>にゴールしたヤツが勝ちだ！,"In any case, the first person to reach the goal wins!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
自分,じぶん,"1. myself, yourself, oneself, himself, herself<br>2. I, me<br>3. you",N5,16,<b>自分</b>を大事にするのは悪いことじゃない,It's not bad to take care of yourself,"#01 PART 熱い夜に雪が降る.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
待つ,まつ,"1. to wait<br>2. to await, to look forward to, to anticipate<br>3. to depend on, to need",N5,16,僕を<b>待た</b>せるつもりだい？,Are you trying to keep me waiting?,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
ちまう,ちまう,"1. to do completely<br>2. to do accidentally, to do without meaning to, to happen to do",Unlabeled,16,スノーが勝っ<b>ちまっ</b>たぞ！,Snow has won!,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
わけ,わけ,Reason / Conclusion,Unlabeled,16,金がもらえる<b>わけ</b>でも—,Even if you don't get paid...,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
コイツ,こいつ,"1. he, she, this fellow, this guy, this person<br>2. this, this one, this thing<br>3. hey, you!, you bastard!, damn you!",Unlabeled,16,<b>コイツ</b>は今までの　お前にとって,This guy is for you until now,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
スピード,スピード,1. speed,N1,16,≪２人とも　すげぇ<b>スピード</b>だ！,≪They both have amazing speed!,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja"
ねえ,ね,"1. right?, don't you think<br>2. hey, come on, listen",Unlabeled,16,英語で　ごまかしてんじゃ<b>ねえ</b>！,Don't cheat in English!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
いつも,いつも,"1. always, all the time, at all times<br>2. never<br>3. usual, regular, habitual, customary",N5,16,<b>いつも</b>晩ごはんまでには,Always by dinner time,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
ルーキー,ルーキー,1. rookie,Unlabeled,16,≪あの<b>ルーキー</b>が戦うってよ！,≪That rookie is going to fight!,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja"
くらい,くらい,About / Approximately,Unlabeled,16,スピン<b>くらい</b>で調子に乗んな！,Don't get carried away just by spinning!,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja"
入る,いる,"1. to get in, to go in, to come in, to flow into, to set, to set in",N5,15,<b>入っ</b>てるんですよぉ！,It's in!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
わっ,わっ,"1. boo! (sound used to scare someone)<br>2. ugh (dissatisfaction, aggravation)<br>3. ulp (consternation)",Unlabeled,15,うおっ!?　う<b>わっ</b>　わっ！,Wow!? Wow!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja"
やっぱ,やっぱ,"1. too, also, likewise, either<br>2. still, as before<br>3. even so, either way, nonetheless, in any event, all the same<br>4. as expected",Unlabeled,15,お前<b>やっぱ</b>　サッカー部に入れよ！,You should join the soccer club!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
時,とき,"1. time, hour, moment<br>2. occasion, case<br>3. chance, opportunity, season<br>4. the times, the age, the day<br>5. tense",N3,15,《その<b>時</b>　俺は　たしかに見たんだ,"《At that time, I did see it.","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #07 PART つりあわねーんだよ.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
