Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
フッ,フッ,"1. hah (derisively), pooh<br>2. pfft (of something disappearing), poof<br>3. huff, puff",Unlabeled,43,<b>フッ</b> できた！,"Phew, done!","S01E03, S01E07, S01E08, S01E10, S01E11, S01E12, S01E13, S01E18, S01E19, S01E21, S01E22, S01E23, S01E24, S01E26"
のに,のに,"1. although, despite, even though, and yet<br>2. whereas, while<br>3. if only, I wish<br>4. in order to",Unlabeled,42,なのは なのの買う<b>のに</b>―,I'm going to buy Nanoha...,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E15, S01E16, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
うわ,うわ,"1. upper, upward, outer, surface, top",Unlabeled,42,<b>うわ</b>あ 何だ これは！,"Wow, what is this!","S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E13, S01E14, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23"
学校,がっこう,1. school,N5,42,私は普通の<b>学校</b>生活を！,I have a normal school life!,"S01E01, S01E02, S01E03, S01E04, S01E11, S01E13, S01E14, S01E15, S01E21, S01E23, S01E24, S01E25, S01E26"
もん,もの,1. person,Unlabeled,41,尻尾はサラサラしてない<b>もん</b>！,The tail is not smooth!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
もらう,もらう,To receive,N4,41,ネジは取って<b>もらわ</b>ないと,I need to get the screws removed,"S01E02, S01E03, S01E05, S01E11, S01E12, S01E13, S01E14, S01E15, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
いやあ,いや,"1. why, oh<br>2. no!, quit it!, stop!",Unlabeled,40,<b>いやあ</b> でもオイルだけに,"Yes, but only with oil","S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E12, S01E14, S01E15, S01E16, S01E18, S01E19, S01E21, S01E23, S01E24"
ほう,ほう,Direction / Side,N5,40,油揚げを書いた<b>ほう</b>がいいとか,I think I should write fried tofu.,"S01E02, S01E03, S01E04, S01E05, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E24, S01E26"
できる,できる,"1. to be out of, to have no more at hand",N5,40,私にも<b>できる</b>ことがある,There's something I can do too,"S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E13, S01E14, S01E15, S01E16, S01E17, S01E19, S01E20, S01E22, S01E23, S01E25, S01E26"
日,ひ,"1. day, days<br>2. sun, sunshine, sunlight<br>3. (the) day, daytime, daylight<br>4. date, deadline<br>5. (past) days, time (e.g. of one's childhood)<br>6. case (esp. unfortunate), event",N4,39,でも ２～３<b>日</b>は ゆっこに,But I'll stay with Yukko for a few days.,"S01E01, S01E03, S01E05, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E15, S01E16, S01E19, S01E21, S01E23, S01E24, S01E25, S01E26"
気,き,"1. spirit, mind, heart<br>2. nature, disposition<br>3. motivation, intention<br>4. mood, feelings<br>5. ambience, atmosphere, mood",N4,39,“細かいことは<b>気</b>にするな”,“Don’t worry about the details”,"S01E01, S01E02, S01E03, S01E06, S01E07, S01E09, S01E10, S01E11, S01E13, S01E14, S01E15, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
わけ,わけ,Reason / Conclusion,Unlabeled,39,悪気があった<b>わけ</b>ではないのだ,It wasn't that I meant any harm.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E25, S01E26"
ところ,ところ,Place / Moment,Unlabeled,38,俺が王になった<b>ところ</b>で,When I became king,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E10, S01E11, S01E12, S01E15, S01E16, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
すいません,すいません,"1. sorry, excuse me, thank you",Unlabeled,38,<b>すいません</b>でした！,Sorry!,"S01E01, S01E02, S01E03, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12, S01E15, S01E16, S01E17, S01E20, S01E21, S01E23, S01E24, S01E25, S01E26"
持つ,もつ,"1. to hold (in one's hand), to take, to carry<br>2. to possess, to have, to own<br>3. to maintain, to keep<br>4. to last, to be durable, to keep, to survive<br>5. to take charge of, to be in charge of<br>6. to hold (meeting, etc.), to have (opportunity, etc.)",N5,38,<b>持つ</b>べきものは みおちゃんです,What you should have is Mio-chan,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E11, S01E12, S01E14, S01E15, S01E16, S01E17, S01E21, S01E25, S01E26"
おお,おお,"1. large, big, great, major, important, serious, heavy, loud<br>2. older, senior<br>3. final, ultimate<br>4. rough, broad, general",Unlabeled,38,“TAXY”だよ<b>おお</b>！,“TAXI”!,"S01E05, S01E06, S01E07, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
水,みず,"1. water (esp. cool, fresh water, e.g. drinking water)<br>2. fluid (esp. in an animal tissue), liquid<br>3. flood, floodwaters<br>4. water offered to wrestlers just prior to a bout<br>5. break granted to wrestlers engaged in a prolonged bout",N5,38,いつまでも<b>水</b>があるなんて,There will always be water,"S01E10, S01E11, S01E15, S01E17, S01E21, S01E23, S01E25"
違う,ちがう,"1. to differ (from), to vary<br>2. to not be in the usual condition<br>3. to not match the correct (answer, etc.)<br>4. to be different from promised<br>5. isn't it?, wasn't it?",N5,37,いや <b>違う</b>んです！,"No, that's not true!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E08, S01E11, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E22, S01E23, S01E25, S01E26"
とき,とき,1. regular (stops at every station) Jouetsu-line Shinkansen,Unlabeled,37,人生 いかなる<b>とき</b>も前向きに！,Stay positive at all times in life!,"S01E01, S01E02, S01E03, S01E06, S01E07, S01E08, S01E09, S01E11, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E22, S01E23, S01E24, S01E25, S01E26"
まだ,まだ,"1. still, as yet, only<br>2. (not) yet<br>3. more, (more) still<br>4. at least, comparatively, relatively<br>5. unfinished, incomplete, not yet done",N5,37,姫は <b>まだ</b>殺すなよ！,Don't kill the princess yet!,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E09, S01E10, S01E11, S01E13, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E25, S01E26"
ホント,ほんとう,"1. truth, reality, actuality, fact<br>2. proper, right, correct, official<br>3. genuine, authentic, real, natural, veritable",Unlabeled,37,私が<b>ホント</b>にテンキーを,I really use the numeric keypad,"S01E01, S01E02, S01E03, S01E04, S01E08, S01E10, S01E11, S01E12, S01E13, S01E14, S01E16, S01E18, S01E19, S01E20, S01E24, S01E25, S01E26"
みんな,みんな,"1. everyone, everybody, all<br>2. everything, all",N5,37,もっと <b>みんな</b>に分かるように,So that everyone can understand more,"S01E01, S01E03, S01E04, S01E06, S01E08, S01E09, S01E11, S01E14, S01E15, S01E17, S01E18, S01E19, S01E20, S01E21, S01E23, S01E24, S01E26"
あげる,あげる,To give,N4,37,<b>あげる</b>やつがあるかボケ！,I wonder if I have anything to give!,"S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E13, S01E14, S01E15, S01E16, S01E17, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25"
東雲,しののめ,"1. daybreak, dawn",Unlabeled,36,ここには <b>東雲</b>校長の像がないと,There's no statue of Principal Shinonome here.,"S01E01, S01E05, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E21, S01E25, S01E26"
せる,せる,1. to compete<br>2. to bid<br>3. to sell at auction,Unlabeled,36,お面に細工をさ<b>せ</b>てもらった,I had the mask decorated,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E11, S01E13, S01E14, S01E15, S01E18, S01E19, S01E21, S01E22, S01E23, S01E25, S01E26"
しか,しか,"1. only, nothing but",Unlabeled,36,御大<b>しか</b>いないじゃん　もう！,There's no one but you!,"S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12, S01E14, S01E15, S01E18, S01E21, S01E22, S01E23, S01E24"
好き,すき,"1. liked, well-liked, favourite, favorite<br>2. in love (with), loved, romantically interested (in)<br>3. faddism, eccentricity<br>4. the way one likes, (as) it suits one<br>5. refined taste, elegant pursuits",N5,35,私は はかせのほうが<b>好き</b>ですよ,I prefer Hakase,"S01E01, S01E03, S01E04, S01E05, S01E07, S01E14, S01E16, S01E17, S01E21, S01E22, S01E24, S01E26"
誰,だれ,1. who,N5,35,<b>誰</b>が先生だ！,Who is the teacher?,"S01E01, S01E02, S01E03, S01E05, S01E08, S01E10, S01E11, S01E13, S01E14, S01E15, S01E18, S01E20, S01E21, S01E22, S01E24, S01E25"
終わる,おわる,"1. to end, to come to an end, to close, to finish",N1,35,今日は これで<b>終わり</b>にします,That's all for today,"S01E01, S01E02, S01E05, S01E06, S01E07, S01E09, S01E12, S01E13, S01E14, S01E16, S01E18, S01E21, S01E22, S01E24, S01E25, S01E26"
家,いえ,"1. house, residence, dwelling<br>2. family, household<br>3. lineage, family name",N5,35,マンガ<b>家</b>にでもなればいいでしょ！,I wish I could become a manga artist!,"S01E01, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E20, S01E23, S01E25, S01E26"
さっき,さっき,"1. a short while ago, a moment ago, just now, some time ago",N4,35,<b>さっき</b>のは なですぎやろ！,You stroked it too much earlier!,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E11, S01E12, S01E14, S01E15, S01E17, S01E18, S01E19, S01E22, S01E23, S01E24, S01E25, S01E26"
こう,こう,"1. in this way, thus, such<br>2. uh...",N4,34,<b>こう</b>べを深々と垂れて！,Drop your head deep!,"S01E01, S01E03, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E24, S01E25"
考える,かんがえる,"1. to think (about, of), to think over, to ponder, to contemplate, to reflect (on), to meditate (on)<br>2. to consider, to bear in mind, to allow for, to take into consideration<br>3. to think (that), to believe, to hold (a view), to judge, to conclude, to suspect<br>4. to intend (to do), to think of (doing), to plan<br>5. to predict, to anticipate, to expect, to imagine<br>6. to come up with, to think up, to contrive, to devise<br>7. to consider (as), to regard (as), to look on (as), to take, to view",N4,34,いかにも素人が<b>考え</b>そうなこった,It seemed like something an amateur would think of.,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E14, S01E15, S01E21, S01E23, S01E24, S01E25"
作る,つくる,"1. to make, to produce, to manufacture, to build, to construct<br>2. to prepare (food), to brew (alcohol)<br>3. to raise, to grow, to cultivate, to train<br>4. to till<br>5. to draw up (a document), to make out, to prepare, to write<br>6. to create (an artistic work, etc.), to compose<br>7. to coin (a phrase), to organize, to organise, to establish, to found<br>8. to have (a child)<br>9. to make up (one's face, etc.)<br>10. to fabricate (an excuse, etc.)<br>11. to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion<br>12. to form (a line, etc.)<br>13. to set (a record)<br>14. to commit (a sin, etc.)",N5,34,はかせが<b>作っ</b>てくれたロボットです,This is a robot made by Hakase.,"S01E01, S01E03, S01E06, S01E08, S01E09, S01E10, S01E11, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E22, S01E23, S01E25, S01E26"
描く,えがく,"1. to draw, to paint, to sketch<br>2. to depict, to describe<br>3. to picture in one's mind, to imagine<br>4. to form a certain shape (e.g. path of an action, appearance of an object, etc.)",N3,34,絵を<b>描く</b>ときに下に置くのは？,What do you put down when drawing?,"S01E02, S01E05, S01E06, S01E07, S01E08, S01E11, S01E14, S01E16, S01E20, S01E23, S01E25"
ので,ので,"1. that being the case, because of ..., the reason is ..., given that ...",Unlabeled,33,あと 私が はかせな<b>ので</b>―,"Also, since I'm Hakase...","S01E01, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12, S01E14, S01E15, S01E16, S01E18, S01E21, S01E22, S01E23, S01E26"
すごい,すごい,Amazing,N3,33,それにしても <b>すごい</b>雨です,It's still raining a lot,"S01E01, S01E03, S01E05, S01E07, S01E09, S01E10, S01E12, S01E13, S01E14, S01E15, S01E16, S01E18, S01E21"
まずい,つたない,"1. poor-quality, shoddy, crude<br>2. unskillful, inexpert, maladroit, inept, foolish, clumsy<br>3. unlucky",N5,33,それにしても <b>まずい</b>,"Even so, it's bad","S01E06, S01E12, S01E23"
知る,しる,"1. to be aware of, to know, to be conscious of, to cognize, to cognise<br>2. to notice, to feel<br>3. to understand, to comprehend, to grasp<br>4. to remember, to be acquainted with (a procedure)<br>5. to experience, to go through, to learn<br>6. to be acquainted with (a person), to get to know<br>7. to concern",N5,32,そうとも<b>知ら</b>ずに独り言のように,It's like I'm talking to myself without even knowing it,"S01E01, S01E03, S01E04, S01E05, S01E08, S01E09, S01E10, S01E11, S01E12, S01E14, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
ネジ,ねじ,"1. screw<br>2. key (of a clock, watch, etc.), spring (of a clock, watch, etc.)",Unlabeled,32,<b>ネジ</b>は取ってもらわないと,I need to get the screws removed,"S01E01, S01E07, S01E09, S01E12, S01E13, S01E14, S01E15, S01E16, S01E25, S01E26"
すみません,すみません,"1. excuse me, pardon me, I'm sorry, I beg your pardon<br>2. thank you",N3,32,<b>すみません</b>でした！,I'm sorry!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E09, S01E10, S01E12, S01E13, S01E14, S01E16, S01E18, S01E20, S01E23, S01E24, S01E26"
話,はなし,"1. talk, speech, chat, conversation<br>2. topic, subject<br>3. discussions, negotiation, argument<br>4. rumor, talk, hearsay<br>5. tale, story, fable<br>6. circumstances, particulars",N5,32,<b>話</b>を聞け！,Listen!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E16, S01E18, S01E20, S01E21, S01E22, S01E24, S01E25"
えーと,えっと,"1. let me see, well, errr ..., uhh ...",Unlabeled,32,<b>えーと</b> それは“fly”ですね,"Well, that's ""fly"".","S01E03, S01E05, S01E10, S01E11, S01E14, S01E15, S01E16, S01E18, S01E23, S01E24, S01E25, S01E26"
宿題,しゅくだい,"1. homework, assignment<br>2. pending issue, unresolved problem, open question",N5,31,あと <b>宿題</b>を忘れたやつは,And the one who forgot his homework,"S01E02, S01E03, S01E06, S01E07, S01E10, S01E12, S01E14, S01E19, S01E21, S01E25"
しれる,しれる,"1. to become known, to come to light, to be discovered<br>2. to be known, to be understood<br>3. to obviously not amount to much, to seem trivial<br>4. to be evident, to be obvious, to go without saying<br>5. to be very intense (worry, hope, etc.), to be extremely severe",Unlabeled,30,人が死ぬかも<b>しれ</b>ないのよ,people might die,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E08, S01E10, S01E11, S01E12, S01E14, S01E15, S01E17, S01E18, S01E22, S01E24"
帰る,かえる,"1. to return, to come home, to go home, to go back<br>2. to leave<br>3. to get home, to get to home plate",N5,29,あと 洗濯物は <b>帰っ</b>てきたら,I'll do the laundry when I get home.,"S01E01, S01E03, S01E04, S01E06, S01E07, S01E11, S01E12, S01E14, S01E16, S01E17, S01E20, S01E21, S01E22, S01E23, S01E25, S01E26"
一緒,いっしょ,"1. together<br>2. at the same time<br>3. same, identical",N5,29,はかせと<b>一緒</b>に磨きに行こう,Let's go polishing with Hakase,"S01E01, S01E02, S01E03, S01E05, S01E07, S01E08, S01E12, S01E13, S01E14, S01E16, S01E17, S01E22, S01E24, S01E25, S01E26"
日常,にちじょう,"1. everyday, daily, ordinary, usual, routine, regular",N3,29,これで私の何気ない<b>日常</b>が,This is my casual daily life,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
しょうが,しょうが,1. ginger (Zingiber officinale),Unlabeled,29,落ち込んでも<b>しょうが</b>ない,I can't help but feel depressed,"S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E13, S01E14, S01E16, S01E18, S01E20, S01E24, S01E26"
ガキ,がき,"1. brat, kid, urchin, little devil<br>2. preta, hungry ghost",Unlabeled,29,何しやがんだ <b>ガキ</b>！,"What are you doing, kid?","S01E04, S01E07, S01E08, S01E09, S01E10, S01E13, S01E14, S01E19, S01E20, S01E21, S01E22, S01E25, S01E26"
ござる,ござる,1. to be,Unlabeled,28,ありがとう<b>ござい</b>ました,thank you,"S01E01, S01E02, S01E04, S01E05, S01E07, S01E10, S01E11, S01E14, S01E15, S01E16, S01E18, S01E21, S01E22, S01E24, S01E25"
怒る,おこる,"1. to get angry, to get mad<br>2. to tell someone off, to scold<br>3. to be angular, to be square",N4,28,何のことで<b>怒っ</b>てんだか,What are you angry about?,"S01E01, S01E02, S01E03, S01E05, S01E07, S01E09, S01E10, S01E13, S01E14, S01E18, S01E23, S01E25"
普通,ふつう,"1. normal, ordinary, regular, usual, common, average<br>2. normally, ordinarily, usually, generally, commonly<br>3. local train, train that stops at every station",N4,28,私は もっと <b>普通</b>が いいんです！,I prefer normal!,"S01E01, S01E02, S01E04, S01E05, S01E07, S01E09, S01E14, S01E15, S01E16, S01E17, S01E18, S01E24, S01E25, S01E26"
何だ,なんだ,"1. what!, oh<br>2. what the heck, what the, damn",Unlabeled,28,うわあ <b>何だ</b> これは！,"Wow, what is this!","S01E01, S01E04, S01E05, S01E06, S01E09, S01E10, S01E12, S01E16, S01E17, S01E18, S01E22, S01E24, S01E25, S01E26"
カワイイ,かわいい,"1. cute, adorable, charming, lovely, pretty<br>2. dear, precious, darling, pet<br>3. innocent, childlike, childish, lovable<br>4. dainty, cute little, tiny",Unlabeled,28,ロボは<b>カワイイ</b>よ！,Robots are cute!,"S01E01, S01E03, S01E04, S01E07, S01E09, S01E14, S01E15, S01E16, S01E17, S01E21, S01E22, S01E23, S01E26"
楽しみ,たのしみ,"1. enjoyment, pleasure, diversion, amusement, hobby<br>2. anticipation, looking forward to",N4,28,第２話です お<b>楽しみ</b>に,Look forward to the second episode,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E21, S01E22, S01E23, S01E24, S01E25"
しまう,しまう,To finish / Do completely,N3,28,食べ物を買わないと死んで<b>しまう</b>,"If you don't buy food, you'll die.","S01E02, S01E03, S01E07, S01E08, S01E09, S01E10, S01E11, S01E14, S01E15, S01E16, S01E20, S01E21, S01E22, S01E23, S01E25, S01E26"
相生,相生,Aioi,Unlabeled,28,なんで<b>相生</b>さんが家に来てるの？,Why is Mr. Aioi coming to my house?,"S01E05, S01E07, S01E10, S01E15, S01E16, S01E21, S01E22, S01E25, S01E26"
おい,おい,"1. hey!, oi!, ahoy!<br>2. I, me",Unlabeled,28,もう　<b>おい</b>！,Hey now!,"S01E06, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E21, S01E22, S01E24"
出す,だす,"1. to take out, to get out<br>2. to put out, to reveal, to show<br>3. to submit (e.g. thesis), to turn in<br>4. to publish, to make public<br>5. to send (e.g. letter)<br>6. to produce (a sound), to start (fire)<br>7. to serve (food)<br>8. ... out (e.g. to jump out, to carry out)<br>9. to begin ..., to start to ..., to burst into ...",N5,27,やるまでの やる気を<b>出す</b>には,How to motivate yourself to do something,"S01E01, S01E02, S01E03, S01E04, S01E08, S01E09, S01E11, S01E13, S01E14, S01E16, S01E17, S01E20, S01E21, S01E23, S01E25, S01E26"
目,め,"1. eye, eyeball<br>2. eyesight, sight, vision<br>3. look, stare, gaze, glance<br>4. notice, attention, observation, eyes (of the world, public, etc.)<br>5. an experience<br>6. viewpoint<br>7. discrimination, discernment, judgement, eye (e.g. for quality)<br>8. appearance<br>9. chance to succeed, possibility<br>10. spacing (between crossed strands of a net, mesh, etc.), opening, stitch, texture, weave<br>11. grain (of wood)<br>12. eye (of a storm, needle, etc.)<br>13. intersection (on a go board), square (on a chess board)<br>14. dot (on a dice), pip, rolled number<br>15. graduation, division (of a scale)<br>16. tooth (of a saw, comb, etc.)<br>17. ordinal number suffix<br>18. somewhat, -ish<br>19. point (e.g. of change)",N5,27,少し<b>目</b>を休ませていたつもりが―,I thought I was resting my eyes for a while...,"S01E01, S01E02, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E15, S01E17, S01E19, S01E20, S01E21, S01E25"
すぎる,すぎる,"1. to pass through, to pass by, to go beyond<br>2. to pass (of time), to elapse<br>3. to have expired, to have ended, to be over<br>4. to exceed, to surpass, to be above<br>5. to be no more than ...<br>6. to be excessive, to be too much, to be too ...",Unlabeled,27,それは あまりにも危険<b>すぎる</b>！,That's too dangerous!,"S01E01, S01E02, S01E03, S01E06, S01E08, S01E09, S01E11, S01E12, S01E15, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26"
桜井,桜井,Sakurai,Unlabeled,27,生徒指導の<b>桜井</b>先生には―,"To Mr. Sakurai, who teaches students...","S01E01, S01E04, S01E07, S01E11, S01E12, S01E14, S01E15, S01E17, S01E21, S01E23, S01E25"
次,つぎ,"1. next, following, subsequent<br>2. stage, station",N5,27,とにかく <b>次</b>の問題へ,"Anyway, on to the next question","S01E02, S01E03, S01E05, S01E07, S01E09, S01E10, S01E11, S01E15, S01E16, S01E18, S01E19, S01E20, S01E24, S01E25"
あと,あと,"1. behind, rear<br>2. after, later<br>3. remainder, the rest<br>4. more (e.g. five more minutes), left<br>5. also, in addition<br>6. descendant, successor, heir<br>7. after one's death<br>8. past, previous",N3,27,<b>あと</b> 仏でたたくのもなし！,"Also, there is no need to bash the Buddha!","S01E02, S01E03, S01E05, S01E06, S01E09, S01E11, S01E12, S01E14, S01E15, S01E18, S01E21, S01E22, S01E24, S01E25, S01E26"
寝る,ねる,"1. to sleep (lying down)<br>2. to go to bed, to lie in bed<br>3. to lie down<br>4. to sleep (with someone, i.e. have intercourse)<br>5. to lie flat (e.g. of hair)<br>6. to lie idle (of funds, stock, etc.)<br>7. to ferment (of soy sauce, miso, etc.)",N5,27,静かに<b>寝</b>なさい！,Sleep quietly!,"S01E03, S01E04, S01E08, S01E09, S01E11, S01E12, S01E17, S01E18, S01E19, S01E21, S01E24, S01E25"
お菓子,おかし,"1. confections, sweets, candy, cake",N5,27,タダで<b>お菓子</b>がもらえるらしいとの,Apparently you can get sweets for free.,"S01E04, S01E05, S01E08, S01E09, S01E10, S01E12, S01E13, S01E18, S01E21, S01E23, S01E24"
そういう,そういう,"1. such, like that, that sort of, very",Unlabeled,26,<b>そういう</b>ロボ的なものではなくて,It's not that kind of robot thing.,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E14, S01E16, S01E17, S01E18, S01E20, S01E21, S01E23, S01E25, S01E26"
わあ,わあ,"1. wow!, oh!, eek!, gee!<br>2. yeah!, alright!, hurray!<br>3. waah!, boohoo!",Unlabeled,26,の<b>わあ</b>あ！,Noaaaaaaaaaaaaaaaa!,"S01E01, S01E03, S01E05, S01E06, S01E07, S01E08, S01E12, S01E13, S01E14, S01E15, S01E16, S01E21, S01E24"
悪い,わるい,"1. bad, poor, undesirable<br>2. poor (quality), inferior, insufficient<br>3. evil, sinful<br>4. ugly, not beautiful<br>5. at fault, to blame, in the wrong<br>6. bad (at doing something)<br>7. unprofitable, unbeneficial<br>8. sorry, (my) bad, unforgivable",N5,26,でも 私が<b>悪い</b>んだし,But it's my fault,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E10, S01E11, S01E13, S01E16, S01E17, S01E18, S01E19, S01E20, S01E22, S01E23, S01E25, S01E26"
君,きみ,"1. you, buddy, pal<br>2. monarch, ruler, sovereign, (one's) master",N4,26,あっ はい  中之条<b>君</b>！,"Ah, yes, Nakanojo-kun!","S01E01, S01E04, S01E07, S01E11, S01E12, S01E14, S01E15, S01E17, S01E18, S01E21, S01E23, S01E24, S01E25"
面白い,おもしろい,"1. interesting, fascinating, intriguing, enthralling<br>2. amusing, funny, comical<br>3. enjoyable, fun, entertaining, pleasant, agreeable<br>4. good, satisfactory, favourable, desirable, encouraging",N1,26,<b>面白く</b>ないです！,It's not interesting!,"S01E01, S01E03, S01E05, S01E06, S01E07, S01E10, S01E14, S01E15, S01E16, S01E18, S01E20, S01E21, S01E23, S01E24, S01E25, S01E26"
ちゃんと,ちゃんと,"1. diligently, seriously, earnestly, reliably, steadily, legitimately<br>2. perfectly, properly, exactly, orderly, punctually, regularly<br>3. sufficiently, satisfactorily<br>4. quickly",N3,26,私は <b>ちゃんと</b>磨きました！,I polished it properly!,"S01E02, S01E03, S01E04, S01E05, S01E08, S01E09, S01E11, S01E12, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
つる,つる,"1. to hang, to suspend, to sling, to wear (e.g. a sword), to put up (e.g. a shelf)<br>2. to hang oneself<br>3. to hoist an opponent off of his feet by his loincloth<br>4. to turn upwards (as if being pulled), to be slanted (of eyes)<br>5. to pucker (e.g. of a seam), to be pulled tight",Unlabeled,25,勝手に入るなっ<b>つっ</b>たろ！,You should have come in without permission!,"S01E01, S01E03, S01E05, S01E06, S01E08, S01E09, S01E10, S01E12, S01E16, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24"
自分,じぶん,"1. myself, yourself, oneself, himself, herself<br>2. I, me<br>3. you",N5,25,<b>自分</b>で取ろうとしても,Even if I try to take it myself,"S01E01, S01E02, S01E06, S01E07, S01E08, S01E11, S01E12, S01E14, S01E15, S01E18, S01E20, S01E21, S01E22, S01E24, S01E25, S01E26"
もしかして,もしかして,"1. perhaps, possibly, maybe, by any chance, if I'm not mistaken<br>2. if, in case, in the event that",Unlabeled,25,これ <b>もしかして</b>！,This could be!,"S01E01, S01E03, S01E08, S01E12, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E23, S01E25"
手,て,"1. hand, arm<br>2. forepaw, foreleg<br>3. handle<br>4. hand, worker, help<br>5. trouble, care, effort<br>6. means, way, trick, move, technique, workmanship<br>7. hand, handwriting<br>8. kind, type, sort<br>9. one's hands, one's possession<br>10. ability to cope<br>11. hand (of cards)<br>12. direction<br>13. move (in go, shogi, etc.)",N5,25,古代兵器を<b>手</b>に入れることが,obtain ancient weapons,"S01E01, S01E06, S01E07, S01E08, S01E11, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E25"
とりあえず,とりあえず,"1. first of all, at once, right away<br>2. for now, for the time being",Unlabeled,25,<b>とりあえず</b> 見て見ぬふりだけでも,"For now, even if I just turn a blind eye","S01E01, S01E03, S01E04, S01E05, S01E07, S01E08, S01E10, S01E11, S01E13, S01E19, S01E21, S01E24, S01E25, S01E26"
