Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image,WordAudio,SentenceAudio
役者,やくしゃ,"1. actor, actress<br>2. man of wits, clever person, cunning fellow",N2,18,お前を<b>役者</b>チームから 降ろすことが 会議で決まった,It was decided at a meeting to remove you from the acting team.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08",,[sound:Beastars_word_45c33229.mp3],[sound:Beastars_sent_55cfeec2.mp3]
言える,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",Unlabeled,18,とても目の前では<b>言え</b>ないけど 君は魅力的な女の子だよ,"I can't really say it in front of you, but you're an attractive girl.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10",,[sound:Beastars_word_fb67433c.mp3],[sound:Beastars_sent_26bcdb0a.mp3]
ずっと,ずっと,"1. continuously in some state (for a long time, distance), throughout, all along, the whole time, all the way<br>2. much (better, etc.), by far, far and away<br>3. far away, long ago<br>4. direct, straight",N3,18,<b>ずっと</b>ずっと そうやって もがいてきたけど,"I've been struggling like this for a long time, but","S01E01, S01E02, S01E03, S01E04, S01E05, S01E08, S01E09, S01E11, S01E12",,[sound:Beastars_word_e27f5c4e.mp3],[sound:Beastars_sent_70324744.mp3]
裏,うら,"1. opposite side, bottom, other side, side hidden from view, undersurface, reverse side<br>2. rear, back, behind<br>3. lining, inside<br>4. in the shadows, behind the scenes, offstage, behind (someone's) back<br>5. more (to something than meets the eye), hidden side (e.g. of one's personality), unknown circumstances, different side<br>6. proof<br>7. opposite (of a prediction, common sense, etc.), contrary<br>8. inverse (of a hypothesis, etc.)<br>9. bottom (of an inning), last half (of an inning)",N4,18,<b>裏</b>市の肉はな 病院や葬儀屋が ひそかに提供しているもんだ,Meat in the back market is secretly provided by hospitals and funeral parlors.,"S01E01, S01E03, S01E06, S01E07, S01E09, S01E11",,[sound:Beastars_word_56392f51.mp3],[sound:Beastars_sent_7b2a3801.mp3]
彼,あれ,"1. that, that thing<br>2. that person<br>3. then, that time<br>4. that place (over there)<br>5. down there (i.e. one's genitals)<br>6. period, menses",N4,18,<b>彼</b>の放つ輝きは 舞台のラストまで 途絶えることがなかった,The brilliance he radiated never ceased until the end of the stage performance.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E11, S01E12",,[sound:Beastars_word_35a943e9.mp3],[sound:Beastars_sent_15f7c085.mp3]
違う,ちがう,"1. to differ (from), to vary<br>2. to not be in the usual condition<br>3. to not match the correct (answer, etc.)<br>4. to be different from promised<br>5. isn't it?, wasn't it?",N5,18,いつものどんよりとは格が<b>違う</b>,It's different from the usual Donyori,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E10, S01E12",,[sound:Beastars_word_98dd58df.mp3],[sound:Beastars_sent_e002e8c7.mp3]
年,とし,"1. year<br>2. age, years<br>3. past one's prime, old age",N5,18,この街に医者が必要だと気付き 腰を据えて 十数<b>年</b>,"I realized that this town needed a doctor, and I sat down for more than 10 years.","S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E09, S01E11",,[sound:Beastars_word_62ef900a.mp3],[sound:Beastars_sent_54dd4cfb.mp3]
こう,こう,"1. in this way, thus, such<br>2. uh...",N4,18,あの時は いろいろあって <b>こう</b>いう記事になってるというか,"A lot of things happened at that time, and this is what the article is about.","S01E01, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E12",,[sound:Beastars_word_9aa3aa77.mp3],[sound:Beastars_sent_8ccb109e.mp3]
ダメ,だめ,No / Bad / Forbidden / Useless,Unlabeled,18,いや <b>ダメ</b>だよ もっと話すべきことがあるでしょ,"No, no, we have more to talk about.","S01E02, S01E04, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_d366fb8e.mp3],[sound:Beastars_sent_0ca5cd0d.mp3]
戻る,もどる,"1. to turn back (e.g. half-way)<br>2. to return, to go back<br>3. to recover (e.g. something lost), to be returned<br>4. to rebound, to spring back",N4,18,今日の作業は ここまで 学校 <b>戻る</b>わよ,That's all for today's work. I'm going back to school.,"S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12",,[sound:Beastars_word_8fc7f899.mp3],[sound:Beastars_sent_8a00612d.mp3]
血,ち,"1. blood<br>2. blood, ancestry, lineage, stock<br>3. (the) blood, feelings, passions",N4,18,お前が景気づけに 小動物の<b>血</b>を飲んだことは―,You drank the blood of small animals to boost the economy...,"S01E04, S01E05, S01E09, S01E10, S01E11",,[sound:Beastars_word_077077d7.mp3],[sound:Beastars_sent_fca89418.mp3]
ジュノ,ジュノ,Juno,Unlabeled,18,<b>ジュノ</b>と ケンカでも したのかしら？,Did you get into a fight with Juno?,"S01E06, S01E07, S01E08, S01E10, S01E12",,[sound:Beastars_word_aebc1ac7.mp3],[sound:Beastars_sent_7a3a762b.mp3]
じゃ,ジャ,Well then / To be (de-wa),N5,17,こんな残飯<b>じゃ</b>が 味に変わりはない,There's no difference in the taste of leftover food like this.,"S01E01, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10",,[sound:Beastars_word_11ccea37.mp3],[sound:Beastars_sent_13ad4457.mp3]
死ぬ,しぬ,"1. to die, to pass away<br>2. to lose spirit, to lose vigor, to look dead<br>3. to cease, to stop",N5,17,でも 部員が<b>死ん</b>だのに 芝居なんかやってる場合なのかな,But I wonder if they're still putting on a play even though a club member has died.,"S01E01, S01E02, S01E03, S01E04, S01E08, S01E10, S01E11",,[sound:Beastars_word_367466e9.mp3],[sound:Beastars_sent_1fa3efed.mp3]
よく,よく,"1. nicely, properly, well, skillfully, skilfully<br>2. frequently, often<br>3. I'm glad that you ..., thank you for ...<br>4. (you have) quite the nerve to, I don't know how you can ...",N5,17,女の子のことについては <b>よく</b>分からないし,I don't know much about girls.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09",,[sound:Beastars_word_d3835cc7.mp3],[sound:Beastars_sent_87570dcb.mp3]
がる,がる,"1. to show signs of being, to feel, to think<br>2. to behave as if one were, to pretend, to act as if",N1,17,僕は これからも お前を疑ったり 気持ち悪<b>がっ</b>たりとか,I'll continue to doubt you and feel bad about you.,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E11, S01E12",,[sound:Beastars_word_2bcedbc4.mp3],[sound:Beastars_sent_0bd9a29e.mp3]
舞台,ぶたい,"1. stage (theatre, theater)<br>2. scene or setting (e.g. of novel, play, etc.)",N3,17,彼の放つ輝きは <b>舞台</b>のラストまで 途絶えることがなかった,The brilliance he radiated never ceased until the end of the stage performance.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E12",,[sound:Beastars_word_16d2a5db.mp3],[sound:Beastars_sent_15f7c085.mp3]
続ける,つづける,"1. to continue, to keep up, to keep on",N4,17,とても 明日の公演を <b>続け</b>られる状態ではないそうです,It seems that he is in no condition to continue with tomorrow's performance.,"S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12",,[sound:Beastars_word_f751bed2.mp3],[sound:Beastars_sent_7ccd98a7.mp3]
あれ,アレ,That one over there,N5,17,<b>あれ</b>は恐らく 俺が生まれて初めて オスとして扱われた瞬間だった,That was probably the first time in my life that I was treated as a male.,"S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10",,[sound:Beastars_word_c3fc1fc5.mp3],[sound:Beastars_sent_4b3b162e.mp3]
前,まえ,Before / Front / Previous,N5,17,とても目の<b>前</b>では言えないけど 君は魅力的な女の子だよ,"I can't really say it in front of you, but you're an attractive girl.","S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11",,[sound:Beastars_word_6044e9f0.mp3],[sound:Beastars_sent_26bcdb0a.mp3]
たり,たり,"1. -ing and -ing (e.g. ""coming and going"")<br>2. doing such things as...<br>3. expresses a command<br>4. to be<br>5. indicates completion or continuation of an action",Unlabeled,17,僕は これからも お前を疑っ<b>たり</b> 気持ち悪がったりとか,I'll continue to doubt you and feel bad about you.,"S01E03, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12",,[sound:Beastars_word_06463047.mp3],[sound:Beastars_sent_0bd9a29e.mp3]
生徒,せいと,"1. pupil, student, schoolchild",N5,16,今 ルイをリンチしようと たくらんでる肉食の<b>生徒</b>が―,There's a meat-eating student who's plotting to lynch Louis right now...,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E08, S01E09, S01E11, S01E12",,[sound:Beastars_word_df208fd7.mp3],[sound:Beastars_sent_d0e491b5.mp3]
うん,うん,Yeah / Yes (casual),N4,16,<b>うん</b> やっぱり 余韻とかが欲しいなって,"Yeah, I still want a lingering aftertaste.","S01E01, S01E03, S01E04, S01E07, S01E08, S01E09, S01E11, S01E12",,[sound:Beastars_word_8059f43b.mp3],[sound:Beastars_sent_f67294f5.mp3]
ほら,ほら,"1. look!, look out!, hey!, look at me!, there you are!",Unlabeled,16,どんどん大きくなっていくよ <b>ほら</b>,"It's getting bigger and bigger, see.","S01E02, S01E08, S01E09, S01E11",,[sound:Beastars_word_f38442f9.mp3],[sound:Beastars_sent_3b53579b.mp3]
助ける,たすける,"1. to save, to rescue<br>2. to help, to assist<br>3. to support (financially), to contribute (to), to provide aid<br>4. to facilitate, to stimulate, to promote, to contribute to",N3,16,肉食獣が自分よりも非力な草食獣を 常に<b>助け</b>たいと思うのは―,The reason why carnivores always want to help herbivores that are weaker than them is...,"S01E02, S01E05, S01E06, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_c6b4dc8d.mp3],[sound:Beastars_sent_23f3315a.mp3]
入る,はいる,To enter / To be poured (tea) / To be ready,N5,16,お前はさあ 役者チームに <b>入り</b>たいとか思ったことは？,Have you ever thought about joining an acting team?,"S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12",,[sound:Beastars_word_29304473.mp3],[sound:Beastars_sent_c3d02aae.mp3]
待つ,まつ,"1. to wait<br>2. to await, to look forward to, to anticipate<br>3. to depend on, to need",N5,16,<b>待ち</b>なさい！,Wait!,"S01E02, S01E03, S01E05, S01E08, S01E11",,[sound:Beastars_word_522bf697.mp3],[sound:Beastars_sent_2bcbde1d.mp3]
本能,ほんのう,1. instinct,N1,15,<b>本能</b>よりも もっと手前にある 俺を強くするシンプルなわがまま,The simple selfishness that makes me stronger is closer to my instincts,"S01E01, S01E05, S01E06, S01E07, S01E09, S01E10, S01E12",,[sound:Beastars_word_8986385c.mp3],[sound:Beastars_sent_58732f53.mp3]
いつ,いつ,"1. when, at what time, how soon<br>2. normal times, ordinary days",N5,15,でも <b>いつ</b>か彼女には―,But someday she will...,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E09",,[sound:Beastars_word_bb855b2e.mp3],[sound:Beastars_sent_3f1390ef.mp3]
ほう,かた,"1. direction, way<br>2. person, lady, gentleman<br>3. method of, manner of, way of<br>4. care of ...<br>5. person in charge of ...<br>6. side (e.g. ""on my mother's side"")",N5,15,声と一緒に喉の奥の<b>ほう</b>で うなり声が響く,"Along with my voice, a growl echoes deep in my throat.","S01E01, S01E05, S01E08, S01E11, S01E12",,[sound:Beastars_word_6856ebc0.mp3],[sound:Beastars_sent_6ef940e3.mp3]
強い,つよい,"1. strong, potent, competent, domineering, tough<br>2. strong, brawny, powerful, healthy, rugged<br>3. good (at), skilled, knowledgeable<br>4. being able to handle, know how to deal (with), durable (against), resistant (to), resilient<br>5. firm, rigid, solid<br>6. intense, strong, fierce, high<br>7. dependable, trustworthy",N5,15,本能よりも もっと手前にある 俺を<b>強く</b>するシンプルなわがまま,The simple selfishness that makes me stronger is closer to my instincts,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E10, S01E11, S01E12",,[sound:Beastars_word_165551d7.mp3],[sound:Beastars_sent_58732f53.mp3]
外,そと,"1. outside, exterior<br>2. the open (air)<br>3. other place, somewhere else, outside one's group (family, company, etc.)",N5,15,<b>外</b>は物騒な事件が多いね 本当に,"There are a lot of disturbing incidents outside, really.","S01E01, S01E06, S01E07, S01E08, S01E12",,[sound:Beastars_word_0e826095.mp3],[sound:Beastars_sent_6fc592dc.mp3]
世界,せかい,"1. the world, society, the universe<br>2. sphere, circle, world<br>3. world-renowned, world-famous<br>4. realm governed by one Buddha, space",N4,15,僕たちが生きているこの<b>世界</b>は とても複雑です,This world we live in is very complex.,"S01E01, S01E02, S01E05, S01E06, S01E08, S01E09, S01E10",,[sound:Beastars_word_33650a36.mp3],[sound:Beastars_sent_cc0ff2b5.mp3]
もし,もし,"1. if, in case, supposing",N4,15,俺は <b>もし</b>かしたら 学校を卒業して 大人になって,Maybe I'll graduate from school and become an adult.,"S01E02, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_e88cd8e7.mp3],[sound:Beastars_sent_4f5f314a.mp3]
部,ぶ,"1. department (in an organization), division, bureau<br>2. club<br>3. part, component, element<br>4. category<br>5. counter for copies of a newspaper or magazine",N1,15,いや 俺は ちょっと 園芸<b>部</b>の子に用が,"No, I have something to do with the gardening club.","S01E02, S01E03, S01E05, S01E06, S01E07, S01E09",,[sound:Beastars_word_1ecd10d4.mp3],[sound:Beastars_sent_530cd25c.mp3]
もっと,もっと,"1. (some) more, even more, longer, further",N5,15,本能よりも <b>もっと</b>手前にある 俺を強くするシンプルなわがまま,The simple selfishness that makes me stronger is closer to my instincts,"S01E02, S01E05, S01E07, S01E08, S01E10, S01E12",,[sound:Beastars_word_77e1f59c.mp3],[sound:Beastars_sent_58732f53.mp3]
見せる,みせる,"1. to show, to display",N5,15,これからも 舞台の上で 皆さんに お<b>見せ</b>します,I will continue to show it to you on stage.,"S01E03, S01E04, S01E06, S01E08, S01E11",,[sound:Beastars_word_a6ca4882.mp3],[sound:Beastars_sent_d3df6b9a.mp3]
卵,たまご,"1. eggs, egg, spawn, roe<br>2. (hen's) egg<br>3. (an expert) in the making<br>4. beginning, origin, infancy",N5,15,夜更かしは<b>卵</b>の質を 落としかねませんもの,Staying up late can reduce the quality of your eggs.,"S01E05, S01E07, S01E11",,[sound:Beastars_word_d9ac2c62.mp3],[sound:Beastars_sent_bf605e64.mp3]
祭,まつり,"1. festival, feast<br>2. harassment by an Internet pitchfork mob, online shaming, flaming<br>3. galore (as in ""goals galore""), frenzy, mania",N3,15,そんで 今年の隕石<b>祭</b>で 恐竜と一緒に供養してあげる,"Then, at this year's meteorite festival, we'll hold a memorial service together with the dinosaurs.","S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",,[sound:Beastars_word_bc6c87ab.mp3],[sound:Beastars_sent_88ea47cf.mp3]
やっぱり,やはり,"1. as expected, sure enough, just as one thought<br>2. after all (is said and done), in the end, as one would expect, in any case<br>3. too, also, as well, likewise, (not) either<br>4. still, as before<br>5. all the same, even so, still, nonetheless",N4,14,<b>やっぱり</b> こういうのが 俺には向いている,"After all, this kind of thing is suitable for me.","S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E11",,[sound:Beastars_word_25161e44.mp3],[sound:Beastars_sent_3a3faa09.mp3]
同じ,おなじ,"1. same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike<br>2. anyway, anyhow, in either case",N5,14,しょせん お前も私と<b>同じ</b> 血に手を汚した者なのだ,"You, like me, have your hands stained with blood.","S01E01, S01E02, S01E03, S01E04, S01E06, S01E10, S01E12",,[sound:Beastars_word_e6f3a3ce.mp3],[sound:Beastars_sent_3229676b.mp3]
もらう,もらう,"1. to receive, to take, to accept<br>2. to get somebody to do something<br>3. to have in one's pocket (a fight, match)<br>4. to contract (a disease), to catch, to be affected",N4,14,君には大人の世界を 知っておいて<b>もらう</b>必要がある,I need you to know about the adult world.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E09, S01E12",,[sound:Beastars_word_9d61f619.mp3],[sound:Beastars_sent_9aa21a82.mp3]
かしら,かしら,"1. I wonder<br>2. some kind, some stage, somehow, somewhere",Unlabeled,14,ジュノと ケンカでも したの<b>かしら</b>？,Did you get into a fight with Juno?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09",,[sound:Beastars_word_8b397050.mp3],[sound:Beastars_sent_7a3a762b.mp3]
こいつ,こいつ,"1. he, she, this fellow, this guy, this person<br>2. this, this one, this thing<br>3. Hey, you!, You bastard!, Damn you!",Unlabeled,14,でも <b>こいつ</b>とハルが 寝てるとは思えないし,But I don't think this guy and Haru are sleeping.,"S01E01, S01E03, S01E04, S01E06, S01E07, S01E09, S01E10",,[sound:Beastars_word_7e92e20c.mp3],[sound:Beastars_sent_1b4da6d1.mp3]
みる,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",Unlabeled,14,努力と根性で何とかなるかもよ 続けて<b>みる</b>？,"With effort and perseverance, you might be able to do something.Would you like to keep going?","S01E01, S01E03, S01E04, S01E06, S01E08, S01E09, S01E12",,[sound:Beastars_word_adc57a7c.mp3],[sound:Beastars_sent_7bcd909f.mp3]
いろいろ,いろいろ,"1. various, all sorts of, variety of<br>2. various colors (colours)",N5,14,あの時は <b>いろいろ</b>あって こういう記事になってるというか,"A lot of things happened at that time, and this is what the article is about.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E12",,[sound:Beastars_word_9e40b164.mp3],[sound:Beastars_sent_8ccb109e.mp3]
こそ,こそ,"1. it is ... that ..., precisely, in particular, definitely, for sure, only (when, after, because, etc.)<br>2. although, while, it is the case that ... but<br>3. it is precisely because ... that ..., only because ...<br>4. not at all, not in the slightest, absolutely not, never",Unlabeled,14,ルイ先輩がいない今だから<b>こそ</b> 私たちは手を取り合って―,"Now that Rui-senpai is gone, we can join hands...","S01E02, S01E03, S01E05, S01E07, S01E08, S01E10, S01E11, S01E12",,[sound:Beastars_word_f4822a3c.mp3],[sound:Beastars_sent_a15d89f0.mp3]
絶対,ぜったい,"1. definitely, absolutely, unconditionally<br>2. absolute, unconditional, unmistakable<br>3. absoluteness",N3,14,<b>絶対</b>に知られてはならないという 覚悟を君も持ってくれ,Please be determined that you must never be known.,"S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E12",,[sound:Beastars_word_1cbe031a.mp3],[sound:Beastars_sent_e825ebbb.mp3]
生まれる,うまれる,1. to be born,N5,14,だってもう 私みたいな女が ドワーフウサギに<b>生まれ</b>た時点で,"Because when a woman like me is born as a dwarf rabbit,","S01E03, S01E04, S01E05, S01E08, S01E10, S01E11",,[sound:Beastars_word_fe28307b.mp3],[sound:Beastars_sent_8c86a271.mp3]
昨日,きのう,1. yesterday,N5,13,<b>昨日</b>の借りは これで返したことになるかな,I guess this means I've repaid yesterday's debt.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E08, S01E09",,[sound:Beastars_word_655d11bd.mp3],[sound:Beastars_sent_53190196.mp3]
ハイイロ,はいいろ,"1. grey, gray, ashen",Unlabeled,13,代表格の<b>ハイイロ</b>オオカミ君を おもくそズドンできるんだから,Because you can easily take in the representative gray wolf.,"S01E01, S01E04, S01E06, S01E07, S01E10, S01E11, S01E12",,[sound:Beastars_word_c97a4cf6.mp3],[sound:Beastars_sent_9bc875c0.mp3]
しか,しか,"1. only, nothing but",Unlabeled,13,結局は捕食される側の 体で<b>しか</b>ないことも,"In the end, it may just be the body of the prey.","S01E01, S01E02, S01E03, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11",,[sound:Beastars_word_023b5f05.mp3],[sound:Beastars_sent_24bffd72.mp3]
変わる,かわる,"1. to change, to be transformed, to be altered, to vary<br>2. to move to<br>3. to be different, to be uncommon, to be unusual",N4,13,１日目と がらりと<b>変わっ</b>たのは 事故ではなかったんですよねえ？,"It wasn't an accident that changed drastically from the first day, right?","S01E01, S01E05, S01E06, S01E07, S01E08, S01E11, S01E12",,[sound:Beastars_word_bd299ba6.mp3],[sound:Beastars_sent_c1d4f288.mp3]
友達,ともだち,"1. friend, companion",N5,13,俺は 少しずつですが 彼女と<b>友達</b>になれてるし,I'm slowly becoming friends with her.,"S01E01, S01E06, S01E07, S01E08, S01E09, S01E10",,[sound:Beastars_word_93015cdf.mp3],[sound:Beastars_sent_266e36ff.mp3]
美術,びじゅつ,"1. art, fine arts",N1,13,これからは 広報 <b>美術</b>チームで 裏方として支えてもらう,"From now on, I will be supported by the public relations and art team behind the scenes.","S01E01, S01E05, S01E06, S01E08, S01E12",,[sound:Beastars_word_9249d7f4.mp3],[sound:Beastars_sent_f8e0b10b.mp3]
さすが,さすが,"1. as one would expect, just as you'd expect (from), just like (someone)<br>2. still, all the same, after all<br>3. even ... (e.g. ""even a genius"")",Unlabeled,13,まあ <b>さすが</b>にオオカミとウサギで 何か起きるってことはないだろう,"Well, I don't think anything will happen between the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E09, S01E10, S01E11",,[sound:Beastars_word_e0501b93.mp3],[sound:Beastars_sent_f60e720d.mp3]
事件,じけん,"1. event, affair, incident, case, plot, trouble, scandal",N3,13,もう この<b>事件</b>に あまり触れたがらない,I don't really want to touch on this incident anymore.,"S01E01, S01E02, S01E03, S01E06, S01E08, S01E09",,[sound:Beastars_word_c560201b.mp3],[sound:Beastars_sent_01de6035.mp3]
ほど,ほど,"1. extent, degree, measure<br>2. limit, bounds<br>3. (span of) time<br>4. (a) distance<br>5. the state of, the status of, the condition of<br>6. about, around, approximately, or so<br>7. as much as ..., to the extent of ..., like ...<br>8. the more ... the more ...",N4,13,顧客を１匹 失う<b>ほど</b> 味が落ちたんですわ,The taste deteriorated so much that I lost a customer.,"S01E01, S01E02, S01E03, S01E05, S01E07, S01E08, S01E10, S01E11, S01E12",,[sound:Beastars_word_5e50b96c.mp3],[sound:Beastars_sent_c453c08b.mp3]
うっ,うう,"1. to plant, to grow",Unlabeled,13,あああっ <b>うっ</b>！,Ahhhhh!,"S01E01, S01E04, S01E05, S01E09, S01E10, S01E11",,[sound:Beastars_word_07d90a51.mp3],[sound:Beastars_sent_6cbb257d.mp3]
一番,いちばん,"1. number one, first, first place<br>2. best, most<br>3. game, round, bout<br>4. as a test, as an experiment, by way of experiment, by way of trial, tentatively<br>5. song (e.g. in noh), piece",N3,13,今のが呪文でないことは お前が<b>一番</b> 分かっているはずだ,You should be the first to know that this isn't a spell.,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E10, S01E11, S01E12",,[sound:Beastars_word_aaf4583e.mp3],[sound:Beastars_sent_c6f9ef04.mp3]
意味,いみ,"1. meaning, significance, sense",N5,13,あなたが強いことには 大きな<b>意味</b>がある,It means a lot to you to be strong.,"S01E01, S01E02, S01E03, S01E05, S01E08, S01E09, S01E10, S01E11",,[sound:Beastars_word_80c9b3e4.mp3],[sound:Beastars_sent_30a5beef.mp3]
でる,てる,"1. to shine<br>2. to look slightly upward (of a noh mask; indicating joy, etc.)",Unlabeled,13,何でも色恋と結び付けて はしゃい<b>でる</b>んだろ,I guess they're having fun associating everything with love and romance.,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11",,[sound:Beastars_word_5de9c1dd.mp3],[sound:Beastars_sent_d64cecb8.mp3]
いける,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",Unlabeled,13,お前は 俺に敵意と牙を 向けちゃ<b>いけ</b>ねえ,You mustn't turn your hatred and fangs at me.,"S01E02, S01E03, S01E04, S01E06, S01E08, S01E09, S01E10, S01E11",,[sound:Beastars_word_e7c74bcd.mp3],[sound:Beastars_sent_1d1ab6ff.mp3]
見える,みえる,"1. to be seen, to be in sight<br>2. to look, to seem, to appear<br>3. to come",N4,13,レゴシ君には 私のこと どう<b>見え</b>てるの？,"How do you see me, Legosi-kun?","S01E02, S01E03, S01E06, S01E08, S01E09, S01E10, S01E11",,[sound:Beastars_word_385f1cda.mp3],[sound:Beastars_sent_a5e4192e.mp3]
あいつ,あいつ,"1. he, she, that guy",Unlabeled,13,<b>あいつ</b>と違って 俺には 大型肉食獣の素質があります,"Unlike him, I have the makings of a large carnivore.","S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11",,[sound:Beastars_word_58c4bffc.mp3],[sound:Beastars_sent_e26b29f8.mp3]
殺す,ころす,"1. to kill, to slay, to murder, to slaughter<br>2. to suppress, to block, to hamper, to destroy (e.g. talent), to eliminate (e.g. an odour), to spoil (e.g. a flavour), to kill (e.g. one's speed)<br>3. to suppress (a voice, feelings, etc.), to hold back, to stifle (a yawn, laugh, etc.), to hold (one's breath)<br>4. to put out (a runner)<br>5. to pawn, to put in hock",N3,13,森羅万象 あらゆる使者が お前を<b>殺そう</b>としている,Every messenger in the universe is trying to kill you.,"S01E02, S01E03, S01E04, S01E06, S01E08, S01E12",,[sound:Beastars_word_17ab6be0.mp3],[sound:Beastars_sent_40bb7016.mp3]
あと,あと,"1. behind, rear<br>2. after, later<br>3. remainder, the rest<br>4. more (e.g. five more minutes), left<br>5. also, in addition<br>6. descendant, successor, heir<br>7. after one's death<br>8. past, previous",N3,13,<b>あと</b>は このオオカミ君に聞いて,All you have to do is ask this wolf.,"S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E12",,[sound:Beastars_word_e220ac43.mp3],[sound:Beastars_sent_f447b67b.mp3]
しれる,しれる,"1. to become known, to come to light, to be discovered<br>2. to be known, to be understood<br>3. to obviously not amount to much, to seem trivial<br>4. to be evident, to be obvious, to go without saying<br>5. to be very intense (worry, hope, etc.), to be extremely severe",Unlabeled,13,誰かに愛されることもないまま 肉食に食い殺されるかも<b>しれ</b>ない,"Without being loved by anyone, I might be eaten alive by flesh-eaters.","S01E03, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12",,[sound:Beastars_word_8151a018.mp3],[sound:Beastars_sent_89f88485.mp3]
あたくし,わたし,"1. I, me",Unlabeled,13,<b>あたくし</b>は彼を “八の字”と呼んでいますのよ,"I call him ""Figure Eight"".",S01E07,,[sound:Beastars_word_e27a6440.mp3],[sound:Beastars_sent_50ca8d66.mp3]
起きる,おきる,"1. to get up, to rise, to blaze up (fire)<br>2. to wake up, to be awake, to stay awake<br>3. to occur (usu. of unfavourable incidents), to happen, to take place",N5,12,まあ さすがにオオカミとウサギで 何か<b>起きる</b>ってことはないだろう,"Well, I don't think anything will happen between the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E08, S01E11, S01E12",,[sound:Beastars_word_13b5cd29.mp3],[sound:Beastars_sent_f60e720d.mp3]
また,また,"1. again, once more, once again, another time, some other time<br>2. also, too, as well, likewise<br>3. on the other hand, while<br>4. and, in addition, besides, moreover, furthermore<br>5. or, otherwise<br>6. really, how, (what, why) on earth<br>7. indirect",N5,12,この忙しい中 やっかい事が <b>また</b>増えるのはご免だって―,"In this busy time, I don't want more troublesome things to happen.","S01E01, S01E03, S01E05, S01E07, S01E09, S01E12",,[sound:Beastars_word_35a08bff.mp3],[sound:Beastars_sent_c0fa2661.mp3]
