Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image,WordAudio,SentenceAudio
信ずる,しんじる,"1. to believe, to believe in, to place trust in, to confide in, to have faith in",N2,8,なんか私と同じで 結構 <b>信じ</b>てそうな気がする,I feel like you're just like me and believe it quite a bit.,"S01E03, S01E11, S01E13, S01E15, S01E17","<img src=""S01E11_00_15_32_264.jpg"">",[sound:Lucky Star_word_85d3173d.mp3],[sound:Lucky Star_sent_2280a740.mp3]
おかしい,おかしい,"1. funny, amusing, comical, laughable, ridiculous<br>2. strange, odd, funny, peculiar, weird, unusual, eccentric<br>3. improper, unsuitable, unbecoming<br>4. suspicious",N4,8,ん？ あれ <b>おかしい</b>な 向こうと はぐれてもうた,yeah? That's strange. I got separated from the other side.,"S01E03, S01E06, S01E08, S01E18, S01E19, S01E20","<img src=""S01E06_00_02_21_683.jpg"">",[sound:Lucky Star_word_c106c81c.mp3],[sound:Lucky Star_sent_7e29c200.mp3]
企画,きかく,"1. planning, project, plan, design",N1,8,えっと 今日はファンにとっては とってもうれしい<b>企画</b>なのだ,"Well, today is a very happy project for the fans.","S01E03, S01E08, S01E13, S01E24","<img src=""S01E03_00_20_24_514.jpg"">",[sound:Lucky Star_word_d76a2eb7.mp3],[sound:Lucky Star_sent_aeea7f8e.mp3]
ハマる,はまる,"1. to fit, to get into, to go into, to be fitted with (e.g. door with a window)<br>2. to be fit for (a job, etc.), to be suited for, to satisfy (conditions)<br>3. to fall into, to plunge into, to get stuck, to get caught<br>4. to be deceived, to be taken in, to fall into a trap<br>5. to be addicted to, to be deep into, to be crazy about, to be stuck on",Unlabeled,8,２次元に<b>ハマり</b>込むと 男子よりも深いのかな？,"When you get into 2D, is it deeper than boys?","S01E03, S01E05, S01E07, S01E10, S01E20, S01E22","<img src=""S01E20_00_04_04_619.jpg"">",[sound:Lucky Star_word_009b4497.mp3],[sound:Lucky Star_sent_5fa7c5da.mp3]
感覚,かんかく,"1. sense, sensation, feeling, intuition",N3,8,ああ でも みゆきは他のことが できすぎてて<b>感覚</b>が違うから,"Ah, but Miyuki is so good at other things that she feels different.","S01E04, S01E05, S01E09, S01E17, S01E19, S01E21","<img src=""S01E04_00_14_29_243.jpg"">",[sound:Lucky Star_word_f98bd78e.mp3],[sound:Lucky Star_sent_b111b0a2.mp3]
屋,や,1. (something) shop<br>2. somebody who sells (something) or works as (something)<br>3. somebody with a (certain) personality trait<br>4. house<br>5. roof,Unlabeled,8,ケーキ<b>屋</b>さんに行くと かわいいケーキがいっぱいあって,"When I went to a cake shop, there were so many cute cakes.","S01E04, S01E05, S01E09, S01E10, S01E11, S01E18, S01E24","<img src=""S01E11_00_14_51_932.jpg"">",[sound:Lucky Star_word_de9ade54.mp3],[sound:Lucky Star_sent_74485a65.mp3]
身,み,"1. body<br>2. oneself<br>3. one's place, one's position<br>4. main part, meat (as opposed to bone, skin, etc.), wood (as opposed to bark), blade (as opposed to its handle), container (as opposed to its lid)",N3,8,<b>身</b>を粉にして作品にかける 愛情と情熱こそが,The love and passion that goes into the work is what,"S01E04, S01E17, S01E18, S01E19, S01E21, S01E22","<img src=""S01E17_00_21_03_512.jpg"">",[sound:Lucky Star_word_acdaf636.mp3],[sound:Lucky Star_sent_9c56c1a8.mp3]
そろう,そろう,"1. to be complete, to be all present, to make a full set, to be satisfied (of conditions)<br>2. to be equal, to be uniform, to be even, to match, to agree<br>3. to gather, to assemble, to be collected",Unlabeled,8,あっ 父子<b>そろっ</b>て そんな感じで お母さん 何とも思わないの？,"Ah, father and son together. Mom, don't you think anything like that?","S01E04, S01E05, S01E20, S01E21, S01E23, S01E24","<img src=""S01E04_00_13_42_154.jpg"">",[sound:Lucky Star_word_8928b988.mp3],[sound:Lucky Star_sent_d80857f0.mp3]
どる,ドル,"1. dollar<br>2. money, cash<br>3. Dor (Israel)",Unlabeled,8,殴る相手は選ん<b>どる</b>よ いろんな意味で,"I choose who I punch, in many ways.","S01E04, S01E05, S01E06, S01E17, S01E19, S01E24","<img src=""S01E19_00_07_16_436.jpg"">",[sound:Lucky Star_word_0595a866.mp3],[sound:Lucky Star_sent_8120a8f1.mp3]
ポチッ,ぽち,"1. dot, point, mark<br>2. tip, gratuity<br>3. a little, paltry, piddling, mere",Unlabeled,8,“<b>ポチッ</b>と”は関西で,“Click” in Kansai,"S01E04, S01E09, S01E12, S01E16","<img src=""S01E12_00_19_23_287.jpg"">",[sound:Lucky Star_word_266cd67c.mp3],[sound:Lucky Star_sent_e81b58cf.mp3]
家事,かじ,"1. housework, domestic chores<br>2. family affairs, household matters",N3,8,かがみも<b>家事</b>したら 少しは上達するかもよ,"If Kagami did some housework too, maybe she would improve a little.","S01E04, S01E07, S01E09, S01E10, S01E14","<img src=""S01E10_00_12_18_195.jpg"">",[sound:Lucky Star_word_d2d3a3cc.mp3],[sound:Lucky Star_sent_fd8c7332.mp3]
疲れ,つかれ,"1. tiredness, fatigue",N3,8,今回は あきら様も お<b>疲れ</b>のご様子なので,Akira-sama also seems tired this time.,"S01E04, S01E12, S01E16, S01E17, S01E18, S01E19","<img src=""S01E12_00_21_18_860.jpg"">",[sound:Lucky Star_word_a04d859b.mp3],[sound:Lucky Star_sent_d10d006a.mp3]
楽,らく,"1. comfort, ease, relief, (at) peace, relaxation<br>2. easy, simple, without trouble, without hardships<br>3. (economically) comfortable<br>4. raku pottery<br>5. sukha (happiness)",N3,8,あんたの顔を 毎日 見なくて済むと思うと気も<b>楽</b>だわ,It makes me feel better not having to see your face every day.,"S01E05, S01E11, S01E15, S01E16, S01E17, S01E20","<img src=""S01E05_00_02_08_378.jpg"">",[sound:Lucky Star_word_cc2ae1df.mp3],[sound:Lucky Star_sent_3fcd1a0b.mp3]
並ぶ,ならぶ,"1. to line up, to stand in a line<br>2. to rival, to match, to equal",N5,8,お兄さん そっちに<b>並ん</b>でるのは 当てたら どれでももらえるの？,"Brother, if you guess which ones are lined up over there, can you get it?","S01E05, S01E06, S01E08, S01E12","<img src=""S01E05_00_05_54_062.jpg"">",[sound:Lucky Star_word_ae75ffe8.mp3],[sound:Lucky Star_sent_c323908d.mp3]
負ける,まける,"1. to lose, to be defeated<br>2. to succumb, to give in, to surrender, to yield<br>3. to be inferior to<br>4. to break out in a rash due to (e.g. lacquer, shaving, etc.)<br>5. to reduce the price, to give a discount, to throw in (something extra) for free",N4,8,ＦＤが突っ込みで<b>負け</b>てる!? 立ち上がりも うめえ！,FD is losing in the attack!? He stands up too!,"S01E05, S01E06, S01E11, S01E22, S01E23, S01E24","<img src=""S01E06_00_03_01_431.jpg"">",[sound:Lucky Star_word_01295a30.mp3],[sound:Lucky Star_sent_f4a885b1.mp3]
暇,ひま,"1. spare time, free time, leisure<br>2. time (e.g. time it takes to do something)<br>3. time off, day off, vacation, holiday, leave<br>4. quitting (one's job), firing someone, divorcing (one's spouse)<br>5. (being) inactive, (of one's business) slow<br>6. leaving, departing",N5,8,ボケッとしとる<b>暇</b>はないで,Don't have time to be stupid,"S01E05, S01E06, S01E07, S01E11, S01E14","<img src=""S01E07_00_04_20_677.jpg"">",[sound:Lucky Star_word_69817082.mp3],[sound:Lucky Star_sent_aa7a6965.mp3]
ほい,それ,"1. that, it<br>2. then, that point (in time), that time<br>3. there<br>4. you",Unlabeled,8,<b>ほい</b> どうしたの？ かがみ様,"Hey, what happened? Kagami-sama","S01E05, S01E08, S01E09, S01E10, S01E15, S01E18, S01E23","<img src=""S01E10_00_17_33_761.jpg"">",[sound:Lucky Star_word_c1fa848f.mp3],[sound:Lucky Star_sent_bee9a911.mp3]
任せる,まかせる,"1. to entrust (e.g. a task) to another, to leave to<br>2. to passively leave to someone else's facilities<br>3. to leave to take its natural course<br>4. to continue (something) in a natural fashion (without particular aim)<br>5. to rely fully on one's (full strength, great ability, long time taken) to get something done",N3,8,あとは基本的に 白石に<b>任せる</b>ので―,I'll basically leave the rest to Shiraishi...,"S01E05, S01E06, S01E15, S01E23, S01E24","<img src=""S01E24_00_17_22_166.jpg"">",[sound:Lucky Star_word_c18f0cb4.mp3],[sound:Lucky Star_sent_d8daceff.mp3]
面倒くさい,めんどくさい,"1. bothersome, tiresome, bother to do",Unlabeled,8,分かんないとこだらけで <b>面倒くさい</b>なあ,"There are so many things I don't understand, it's a hassle.","S01E05, S01E08, S01E12, S01E13, S01E16, S01E21","<img src=""S01E05_00_16_25_234.jpg"">",[sound:Lucky Star_word_b1a9a09d.mp3],[sound:Lucky Star_sent_9e847805.mp3]
戻る,もどる,"1. to turn back (e.g. half-way)<br>2. to return, to go back<br>3. to recover (e.g. something lost), to be returned<br>4. to rebound, to spring back",N4,8,でも それもしばらくすると 振り出しに<b>戻ら</b>ないか？,"But after a while, won't it be back to square one?","S01E05, S01E11, S01E12, S01E14, S01E16","<img src=""S01E11_00_13_13_918.jpg"">",[sound:Lucky Star_word_8fc7f899.mp3],[sound:Lucky Star_sent_4419769e.mp3]
最高,さいこう,"1. most, highest, maximum, uppermost, supreme<br>2. best, wonderful, finest",N3,8,成功 失敗を気にするより 楽しくできたら<b>最高</b>です！,"Rather than worrying about success or failure, it would be great if you could have fun!","S01E05, S01E06, S01E11, S01E19, S01E24","<img src=""S01E24_00_19_16_780.jpg"">",[sound:Lucky Star_word_8672864e.mp3],[sound:Lucky Star_sent_fab60151.mp3]
期待,きたい,"1. expectation, anticipation, hope<br>2. promising, rising, up-and-coming",N3,8,少しの不安と大きな<b>期待</b> マジで恋する５秒前 ＭＫ５！,"A little bit of anxiety and big expectations, 5 seconds before I seriously fell in love with MK5!","S01E06, S01E07, S01E11, S01E15, S01E19, S01E24","<img src=""S01E15_00_16_22_064.jpg"">",[sound:Lucky Star_word_8f694c7f.mp3],[sound:Lucky Star_sent_3decc797.mp3]
続く,つづく,"1. to continue, to last, to go on<br>2. to continue (without a break), to be unbroken<br>3. to occur again and again<br>4. to lead to, to connect to, to adjoin<br>5. to come after, to follow, to succeed, to rank next to<br>6. to hold out, to keep, to last",N4,8,清水寺へと<b>続く</b>坂道は 三年坂と言いまして―,The slope leading to Kiyomizu-dera Temple is called Sannenzaka.,"S01E06, S01E09, S01E11, S01E15, S01E16, S01E21","<img src=""S01E21_00_11_48_499.jpg"">",[sound:Lucky Star_word_2c763d54.mp3],[sound:Lucky Star_sent_a0761b61.mp3]
姉,あね,"1. older sister, elder sister",N5,8,普段は<b>姉</b>も妹もないとか 言ってるけど,I usually say that I don't have an older sister or younger sister.,"S01E06, S01E08, S01E11, S01E14, S01E16, S01E17","<img src=""S01E11_00_07_37_748.jpg"">",[sound:Lucky Star_word_6a984954.mp3],[sound:Lucky Star_sent_05061d0c.mp3]
服,ふく,"1. clothes (esp. Western clothes)<br>2. counter for doses of medicine, gulps of tea, drags of a cigarette, etc.",N5,8,おつゆが跳ねて <b>服</b>にちょっぴり かかっちゃったりすると,"If the soup splashes and gets a little on your clothes,","S01E06, S01E10, S01E12, S01E17, S01E23, S01E24","<img src=""S01E10_00_22_50_410.jpg"">",[sound:Lucky Star_word_4cf80999.mp3],[sound:Lucky Star_sent_9972c8e1.mp3]
うおっ,さかな,1. fish,Unlabeled,8,<b>うおっ</b>！ ２～３日放置してたら メールがめがっさ たまってる！,"Wow! If you leave it alone for a few days, the emails will pile up!","S01E06, S01E12, S01E13, S01E14, S01E22, S01E23","<img src=""S01E23_00_02_20_223.jpg"">",[sound:Lucky Star_word_cadf4f25.mp3],[sound:Lucky Star_sent_a1db6935.mp3]
ノート,ノート,"1. notebook, copy-book, exercise book<br>2. note, noting down<br>3. (musical) note<br>4. notebook computer, laptop",N5,8,私が ゆきちゃんに <b>ノート</b>を貸すなんて,I lent my notebook to Yuki-chan.,"S01E07, S01E09, S01E15","<img src=""S01E07_00_07_18_396.jpg"">",[sound:Lucky Star_word_f476f059.mp3],[sound:Lucky Star_sent_541e11d0.mp3]
準備,じゅんび,"1. preparation, arrangements, getting ready, provision, setup, reserving",N4,8,お祭りは<b>準備</b>をしている時が 一番 楽しいといいますしね,They say festivals are the most fun when you're preparing for them.,"S01E07, S01E15, S01E17, S01E24","<img src=""S01E24_00_21_55_689.jpg"">",[sound:Lucky Star_word_04f46f8e.mp3],[sound:Lucky Star_sent_4da0dc73.mp3]
買い物,かいもの,"1. shopping, purchased goods",N5,8,今日は私が食事当番なんだ <b>買い物</b> 寄ってかなきゃ,"I'm on meal duty today, so I have to stop by for some shopping.","S01E07, S01E12, S01E15, S01E17","<img src=""S01E07_00_11_03_287.jpg"">",[sound:Lucky Star_word_1665c269.mp3],[sound:Lucky Star_sent_78c71e7b.mp3]
写真,しゃしん,"1. photograph, photo, picture, snapshot, snap<br>2. moving picture, movie",N5,8,まあ でも僕は モッコリ<b>写真</b>とかいっぱいあるんで,"Well, I have a lot of silly photos.","S01E08, S01E09, S01E22","<img src=""S01E09_00_21_21_863.jpg"">",[sound:Lucky Star_word_9c3250ff.mp3],[sound:Lucky Star_sent_55603f9f.mp3]
競争,きょうそう,"1. competition, contest, rivalry, race<br>2. competition (between organisms or species)",N4,8,確かに かがみは <b>競争</b>心強いところあるよね,It's true that Kagami is very competitive.,"S01E08, S01E11, S01E23","<img src=""S01E11_00_07_26_737.jpg"">",[sound:Lucky Star_word_0fe98c4d.mp3],[sound:Lucky Star_sent_1edf6c70.mp3]
クリスマス,クリスマス,1. Christmas,N3,8,<b>クリスマス</b>前は ゲームの新作も目白押しだあ！,There will be a lot of new game releases before Christmas!,"S01E08, S01E11","<img src=""S01E08_00_05_10_643.jpg"">",[sound:Lucky Star_word_e07e6dd2.mp3],[sound:Lucky Star_sent_b764e46d.mp3]
練習,れんしゅう,"1. practice, training, drill, (an) exercise, workout",N5,8,おかしなところは<b>練習</b>しながら 適宜修正！,Correct any strange parts as you practice!,"S01E08, S01E24","<img src=""S01E24_00_09_29_819.jpg"">",[sound:Lucky Star_word_43956281.mp3],[sound:Lucky Star_sent_a6e60a63.mp3]
代わり,かわり,"1. substitute, replacement, substituting, replacing<br>2. stand-in, proxy, alternate, deputy, relief, successor<br>3. compensation, exchange, return<br>4. another helping, second helping, seconds, refill<br>5. upcoming program, upcoming programme",N4,8,でも<b>代わり</b>に あきら様の 等身大ポップを―,"But instead, Akira-sama's life-sized pop...","S01E08, S01E10, S01E11, S01E12, S01E13, S01E15, S01E24","<img src=""S01E12_00_21_04_763.jpg"">",[sound:Lucky Star_word_fd0e19b9.mp3],[sound:Lucky Star_sent_2fc93524.mp3]
かぶん,かぶん,"1. excessive, unmerited, generous<br>2. past participle",Unlabeled,8,私に<b>かぶん</b>な かぶんなっつうの！,Don't cover me! Don't cover me!,S01E08,"<img src=""S01E08_00_20_46_119.jpg"">",[sound:Lucky Star_word_a1865835.mp3],[sound:Lucky Star_sent_ef079b4b.mp3]
シリーズ,シリーズ,1. series,N2,8,今年の日本<b>シリーズ</b>は あそことあそこだったから,This year's Japan Series was over there and over there.,"S01E08, S01E09, S01E19, S01E22","<img src=""S01E09_00_15_33_015.jpg"">",[sound:Lucky Star_word_5281855f.mp3],[sound:Lucky Star_sent_f17ee16b.mp3]
集中,しゅうちゅう,"1. concentration, focusing, convergence, centralization, integration, gathering together<br>2. within a collection of works",N3,8,これでも居眠りしないように 頑張って意識<b>集中</b>してるんですけど,I'm still trying my best to concentrate and not fall asleep.,"S01E09, S01E15, S01E16, S01E19, S01E21, S01E22","<img src=""S01E15_00_18_52_005.jpg"">",[sound:Lucky Star_word_a24f502c.mp3],[sound:Lucky Star_sent_b8b7329c.mp3]
悔しい,くやしい,"1. vexing, annoying, frustrating, regrettable, mortifying",N2,8,今 自分があの場所に いられないのが 少し<b>悔しい</b>,I'm a little disappointed that I can't be in that place right now.,"S01E09, S01E11, S01E14, S01E22","<img src=""S01E22_00_19_22_995.jpg"">",[sound:Lucky Star_word_2fad474f.mp3],[sound:Lucky Star_sent_3af4788f.mp3]
感じる,かんじる,"1. to feel, to sense, to experience",N3,8,他に<b>感じる</b>ことは ないのか,Don't you feel anything else?,"S01E09, S01E11, S01E13, S01E18, S01E20, S01E21, S01E24","<img src=""S01E24_00_01_44_062.jpg"">",[sound:Lucky Star_word_68bad80d.mp3],[sound:Lucky Star_sent_dfc930b3.mp3]
真,しん,"1. truth, reality, genuineness<br>2. seriousness<br>3. logical truth<br>4. printed style writing<br>5. star performer",Unlabeled,8,では このお客様にオススメしてみろ 君が考える<b>真</b>の掘り出し物を！,"So, let's recommend this customer what you think is a true bargain!","S01E09, S01E10, S01E12, S01E17, S01E21","<img src=""S01E12_00_11_55_798.jpg"">",[sound:Lucky Star_word_827d018e.mp3],[sound:Lucky Star_sent_30bc923a.mp3]
撮る,とる,"1. to take (a photo)<br>2. to record (video, audio, etc.), to make (a film)",N5,8,後で ゆうちゃんとも <b>撮ろう</b>な,Let's take a picture with Yuu-chan later.,"S01E09, S01E16, S01E21, S01E22, S01E24","<img src=""S01E22_00_19_22_619.jpg"">",[sound:Lucky Star_word_cac5d7af.mp3],[sound:Lucky Star_sent_cd858f47.mp3]
我々,われわれ,1. we,N3,8,フフフ ならば その迷い <b>我々</b>が解決してやろうではないか！,"Hehehe, then why don't we solve that hesitation!","S01E10, S01E13, S01E14, S01E16, S01E17, S01E21, S01E23","<img src=""S01E13_00_16_35_869.jpg"">",[sound:Lucky Star_word_0001d999.mp3],[sound:Lucky Star_sent_1b834116.mp3]
格好,かっこう,"1. shape, form, figure, posture, pose<br>2. appearance<br>3. state, situation<br>4. suitable, fit, reasonable<br>5. about",N3,8,こなた！ ぬわんて <b>格好</b>で歩き回ってるんだ！,Konata! He's walking around dressed like a dog!,"S01E11, S01E15, S01E19, S01E24","<img src=""S01E19_00_09_58_222.jpg"">",[sound:Lucky Star_word_30034c94.mp3],[sound:Lucky Star_sent_7e605ec8.mp3]
止める,とめる,"1. to stop, to turn off<br>2. to park<br>3. to prevent, to suppress (a cough), to hold back (tears), to hold (one's breath), to relieve (pain)<br>4. to stop (someone from doing something), to dissuade, to forbid, to prohibit<br>5. to notice, to be aware of, to concentrate on, to pay attention to, to remember, to bear in mind<br>6. to fix (in place), to fasten, to tack, to pin, to nail, to button, to staple<br>7. to detain, to keep in custody",N4,8,他の人が <b>止め</b>たりしてないよねとか,I don't think anyone else is stopping you.,"S01E11, S01E14, S01E20, S01E21, S01E22","<img src=""S01E20_00_06_21_005.jpg"">",[sound:Lucky Star_word_6372f7e9.mp3],[sound:Lucky Star_sent_b0a4c6ae.mp3]
有名,ゆうめい,1. famous<br>2. fame,N5,8,ワイルズ教授によって 証明された<b>有名</b>な定理とは？,What is the famous theorem proven by Professor Wiles?,"S01E12, S01E15, S01E19, S01E20, S01E21, S01E22","<img src=""S01E15_00_09_44_542.jpg"">",[sound:Lucky Star_word_0e555b07.mp3],[sound:Lucky Star_sent_4e63134e.mp3]
受験生,じゅけんせい,"1. student preparing for or taking examinations (usu. entrance exams), test-taker",Unlabeled,8,っつか もっと勉学に 身を入れなさいよ <b>受験生</b>なんだし,"You should put more effort into your studies, you're a test taker.","S01E14, S01E16, S01E17, S01E18, S01E20, S01E22","<img src=""S01E22_00_03_41_930.jpg"">",[sound:Lucky Star_word_d5506a83.mp3],[sound:Lucky Star_sent_90a44284.mp3]
邪魔,じゃま,"1. hindrance, obstacle, nuisance, disturbance, interruption, interference<br>2. to visit (someone's home)<br>3. demon who hinders Buddhist training, demon who obstructs sentient beings from maintaining moral behaviour",N3,8,私の<b>邪魔</b>すんなって 何度 言えば分かる！,"No matter how many times you say, don't get in my way, you'll understand!","S01E14, S01E17, S01E18","<img src=""S01E14_00_20_56_338.jpg"">",[sound:Lucky Star_word_a57d3ad8.mp3],[sound:Lucky Star_sent_564fe8be.mp3]
集まる,あつまる,"1. to gather, to collect, to assemble",N1,8,みんな あきらのために <b>集まっ</b>てくれて ありがと！,Thank you everyone for coming together for Akira!,"S01E15, S01E16, S01E19, S01E24","<img src=""S01E24_00_18_20_224.jpg"">",[sound:Lucky Star_word_0dda5f50.mp3],[sound:Lucky Star_sent_ddefce91.mp3]
切れる,きれる,"1. to break, to snap, to be cut, to split, to crack<br>2. to be injured<br>3. to wear out, to be worn out<br>4. to break, to burst, to collapse<br>5. to wear off, to stop working, to go dead<br>6. to expire (time limit, etc.), to run out, to become due<br>7. to run out (of stock, etc.), to be exhausted, to be used up, to be sold out, to be out of<br>8. to be broken off (e.g. of a relationship), to break up, to have severed ties, to be cut off, to be disconnected<br>9. to cut well, to be sharp<br>10. to be sharp-minded, to be keen, to be shrewd, to be quick-witted, to be able<br>11. to be short of, to drop under (a certain figure), to beat (e.g. a record time)<br>12. to dry off<br>13. to curve, to veer<br>14. to shuffle (cards)<br>15. to get angry, to snap, to blow one's top, to lose one's temper, to flip<br>16. to be able to do completely",N3,8,でね 電池が<b>切れ</b>た時は “完全に沈黙”っていうんだって,"So, when the battery dies, it's called ``complete silence.''","S01E16, S01E18, S01E19, S01E20, S01E22, S01E23, S01E24","<img src=""S01E16_00_04_41_906.jpg"">",[sound:Lucky Star_word_a0c8c706.mp3],[sound:Lucky Star_sent_2619e1e8.mp3]
パトリシア,パトリシア,Patorishia,Unlabeled,8,私の名前は <b>パトリシア</b>･マーティンです,my name is patricia martin,"S01E16, S01E18, S01E20, S01E23, S01E24","<img src=""S01E16_00_12_55_900.jpg"">",[sound:Lucky Star_word_12121e37.mp3],[sound:Lucky Star_sent_0cf7bfd2.mp3]
もぐ,もぐ,"1. to pluck (usually from a tree), to pick (e.g. apples)",Unlabeled,8,<b>もぐ</b> もぐ もぐ…,Mogu mogu mogu…,"S01E18, S01E19","<img src=""S01E18_00_18_45_541.jpg"">",[sound:Lucky Star_word_fc819629.mp3],[sound:Lucky Star_sent_ddb10bd0.mp3]
タイミング,タイミング,1. timing,N1,7,あとそれから かさぶたをはがす<b>タイミング</b>,And then it's time to peel off the scab,"S01E01, S01E06, S01E08, S01E19, S01E20, S01E24","<img src=""S01E06_00_23_23_276.jpg"">",[sound:Lucky Star_word_9a169e26.mp3],[sound:Lucky Star_sent_2f564120.mp3]
時々,ときどき,"1. sometimes, occasionally, at times, from time to time, now and then, once in a while, at intervals<br>2. seasonal, of the season, appropriate (for the season or occasion)",N5,7,<b>時々</b> おなかが いっぱいになっちゃって,Sometimes my stomach gets full,"S01E01, S01E03, S01E04, S01E09, S01E13, S01E16","<img src=""S01E01_00_04_23_012.jpg"">",[sound:Lucky Star_word_ad44f001.mp3],[sound:Lucky Star_sent_68564cd7.mp3]
落とす,おとす,"1. to drop, to lose, to let fall, to shed (light), to cast (one's gaze), to pour in (liquid), to leave behind<br>2. to clean off (dirt, makeup, paint, etc.), to remove (e.g. stains or facial hair), to lose, to spend money at a certain place, to omit, to leave out, to secretly let escape<br>3. to lose (a match), to reject (an applicant), to fail (a course), to defeat (in an election)<br>4. to lower (e.g. shoulders or voice), to lessen (e.g. production or body weight), to worsen (quality), to reduce (e.g. rank or popularity), to speak badly of, to make light of, to fall into straitened circumstances<br>5. to fall into (e.g. a dilemma or sin), to make one's own, to have one's bid accepted, to force surrender, to take (e.g. an enemy camp or castle), to forcefully convince, to press for a confession, to deal with<br>6. to download, to copy from a computer to another medium<br>7. to make someone swoon (judo)<br>8. to finish a story (e.g. with the punch line)<br>9. to finish (a period, e.g. of fasting)",N1,7,かがみは いつもに比べて 調子を<b>落とし</b>てるな,Kagami seems to be acting more depressed than usual.,"S01E01, S01E09, S01E11, S01E18, S01E24","<img src=""S01E09_00_09_03_209.jpg"">",[sound:Lucky Star_word_34261075.mp3],[sound:Lucky Star_sent_5169351e.mp3]
親子,おやこ,1. parent and child,Unlabeled,7,<b>親子</b>丼もおいしいよ 卵と鳥肉は親子でしょう？,The oyakodon is also delicious.Isn't the egg and chicken the oyakodon?,"S01E01, S01E10, S01E16, S01E18, S01E22","<img src=""S01E01_00_06_07_658.jpg"">",[sound:Lucky Star_word_8748dbdf.mp3],[sound:Lucky Star_sent_8025a14b.mp3]
過ぎる,すぎる,"1. to pass through, to pass by, to go beyond<br>2. to pass (of time), to elapse<br>3. to have expired, to have ended, to be over<br>4. to exceed, to surpass, to be above<br>5. to be no more than ...<br>6. to be excessive, to be too much, to be too ...",N4,7,でも お正月って 足早に<b>過ぎ</b>ていくね,But New Year's Day passes quickly.,"S01E01, S01E03, S01E11, S01E13, S01E14, S01E20","<img src=""S01E13_00_05_47_722.jpg"">",[sound:Lucky Star_word_6c6b2f60.mp3],[sound:Lucky Star_sent_e3c898b5.mp3]
自然,しぜん,"1. nature<br>2. natural, spontaneous, automatic<br>3. naturally, spontaneously, automatically",N3,7,世代は前のものなんですが <b>自然</b>と覚えてしまいますよね,"It's from a previous generation, but I naturally remember it.","S01E01, S01E09, S01E10, S01E16, S01E18, S01E19","<img src=""S01E10_00_21_48_515.jpg"">",[sound:Lucky Star_word_4f124083.mp3],[sound:Lucky Star_sent_2d2986cc.mp3]
成績,せいせき,"1. results, record, grades, marks",N3,7,もっと<b>成績</b>も上がるのにね あっ,"I wish I could get better grades, ah","S01E01, S01E04, S01E09, S01E11, S01E12, S01E15","<img src=""S01E04_00_10_22_705.jpg"">",[sound:Lucky Star_word_b36c7e58.mp3],[sound:Lucky Star_sent_453bd8a4.mp3]
足,あし,"1. foot, paw, arm (of an octopus, squid, etc.)<br>2. leg<br>3. gait<br>4. pace<br>5. bottom structural component (i.e. radical) of a kanji<br>6. means of transportation<br>7. money, coin",N5,7,私は柔道場などには <b>足</b>を踏み入れたことがないですね,I've never set foot in a judo hall.,"S01E01, S01E15, S01E16, S01E22, S01E24","<img src=""S01E15_00_17_43_145.jpg"">",[sound:Lucky Star_word_5b76d055.mp3],[sound:Lucky Star_sent_fa686d22.mp3]
ドジ,ドジ,"1. blunder, bungle, clumsiness",Unlabeled,7,お前は<b>ドジ</b>でのろまな亀か,"Are you a clumsy, slow turtle?","S01E01, S01E03, S01E07, S01E09, S01E19","<img src=""S01E09_00_17_55_324.jpg"">",[sound:Lucky Star_word_75569148.mp3],[sound:Lucky Star_sent_8fd189cc.mp3]
っ子,っこ,"1. someone with a liking or characteristic, a true representative of (place)",Unlabeled,7,私のメアドはローマ字で “メガネ<b>っ子</b>激ＬＯＶＥ”だよ,My e-mail address is ``Meganekko intensely LOVE'' in romaji.,"S01E01, S01E03, S01E07, S01E11, S01E19","<img src=""S01E07_00_16_24_233.jpg"">",[sound:Lucky Star_word_453c02db.mp3],[sound:Lucky Star_sent_f2b10049.mp3]
天然,てんねん,"1. nature, spontaneity<br>2. natural airhead",N3,7,クソ～ 素でかわいいな この人 <b>天然</b>系か,Shit~ He's so cute in his natural state. Is this person a natural type?,"S01E01, S01E03, S01E16, S01E18","<img src=""S01E01_00_09_53_926.jpg"">",[sound:Lucky Star_word_6b1c0453.mp3],[sound:Lucky Star_sent_3373cb92.mp3]
インフルエンザ,インフルエンザ,"1. influenza, flu",Unlabeled,7,<b>インフルエンザ</b>はウイルス性ですが,Influenza is viral,S01E01,"<img src=""S01E01_00_10_48_272.jpg"">",[sound:Lucky Star_word_9a771d8e.mp3],[sound:Lucky Star_sent_f38a858b.mp3]
だんだん,だんだん,"1. gradually, by degrees, little by little, more and more, increasingly<br>2. steps, stairs, staircase, terrace",N5,7,お誕生日が近くなってくると <b>だんだん</b>不安になってきて,"As my birthday approaches, I'm starting to get anxious.","S01E01, S01E03, S01E06, S01E09, S01E10, S01E11, S01E12","<img src=""S01E03_00_14_05_636.jpg"">",[sound:Lucky Star_word_72a974c5.mp3],[sound:Lucky Star_sent_cd5fda35.mp3]
